weekEndingDate,BAYVIEW,CENTRAL,MISSION,NORTHERN,SOUTHERN,TENDERLOIN,ALL
2009-08-31,651142.736688,1129829.2268,678827.080952,880738.918892,905494.6,751585.2,832936.293889
2009-09-30,676575.099827,1217970.56364,674088.002941,859770.157641,905144.729167,707395.333333,840157.314425
2009-10-31,644707.726667,1257462.64702,680270.735385,854675.494781,956067.5,662132.45,842552.758976
2009-11-30,627727.684295,1096171.69298,687973.630952,813402.546235,959842.775641,611794.55,799485.480018
2009-12-31,628819.1181,1075211.63701,725312.9125,792217.019866,976696.041667,574889.458333,795524.36458
2010-01-31,630258.798763,1016314.58914,719849.177451,763941.232686,978077.053333,690091.6,799755.408562
2010-02-28,646615.358631,1144249.95373,689961.458333,767491.285669,976513.541667,678584.875,817236.078839
2010-03-31,610276.447917,1143432.73117,688148.97619,805003.075735,1000331.20833,702736.185714,824988.104176
2010-04-30,653128.964286,1109287.76071,678317.183333,825918.225694,888734.375,680478.428571,805977.4896
2010-05-31,614867.597222,1076212.51238,687993.116667,766027.670556,975064.733333,679741.83619,799984.577725
2010-06-30,608102.792857,1110617.88294,748523.443452,781456.925321,930585.275,661741.191667,806837.918539
2010-07-31,560748.598926,1071819.525,751998.716667,798154.230556,973996.556667,654266.666667,801830.715747
2010-08-31,587950.053977,1007316.83333,714805.1875,753189.488636,1042100.91667,651315.9,792779.730019
2010-09-30,647062.008974,1068664.81548,706893.583333,775680.994444,1027338.0,608840.75,805746.692038
2010-10-31,545861.374286,1151643.89524,659015.65,774119.396212,973666.633333,593606.333333,782985.547067
2010-11-30,542159.870536,1219111.875,679298.291667,788135.723611,948718.333333,562682.291667,790017.730969
2010-12-31,560205.37987,1241428.75833,692760.892857,800379.123106,987100.458333,568692.583333,808427.865972
2011-01-31,498397.818701,1192531.77619,691619.206667,788662.782143,975647.033333,589151.166667,789334.96395
2011-02-28,574843.853355,1178029.09488,722972.080357,741007.648383,988846.041667,615327.354167,803504.345468
2011-03-31,591909.125534,1089293.67857,766458.888889,792710.422569,974109.916667,675390.416667,814978.741483
2011-04-30,555351.870202,1076685.56,758936.607143,781508.909464,1001730.2,611980.466667,797698.935579
2011-05-31,563017.956349,1137940.81548,641076.885417,783157.444444,1090938.66667,651620.5,811292.044726
2011-06-30,599400.940152,1143510.90476,628022.102183,788964.42289,1090119.04167,686293.75,822718.526942
2011-07-31,599447.721645,1224796.74597,610150.130952,779119.171368,1034090.53333,632584.4,813364.783879
2011-08-31,560814.207837,1127522.95219,624234.559524,828294.926768,1012303.04167,615208.25,794729.656331
2011-09-30,644483.108333,1198866.49384,629105.327778,775256.45542,974137.166667,621138.875,807164.571172
2011-10-31,644316.505556,1222442.71302,636377.987778,809005.559921,1018450.8,684325.6,835819.861045
2011-11-30,552232.185606,1289945.50833,656929.943452,845271.7875,1120632.0,689536.125,859091.258315
2011-12-31,623818.691429,1288264.46,613303.775,801583.957937,1169808.1,728683.966667,870910.491839
2012-01-31,652876.807143,1271810.44643,596862.083333,780055.395833,1064032.875,891352.0,876164.934623
2012-02-29,696397.447917,1269385.86429,606333.458333,768497.396825,1171132.125,730643.5,873731.63206
2012-03-31,649438.185714,1390424.93,737608.093333,764405.266667,1136361.6,661502.8,889956.812619
2012-04-30,552280.940115,1251804.05,624665.795833,816839.395536,1138652.125,634560.75,836467.176081
2012-05-31,633364.594643,1307278.65893,747970.196429,932357.541667,1197151.3,738757.625,926146.652778
2012-06-30,664258.137143,1427223.4873,725493.418333,951856.154206,1257914.86667,611720.9,939744.493942
2012-07-31,638963.379058,1390402.31346,701446.202381,867357.375397,1337627.16667,739979.25,945962.614494
2012-08-31,591770.604167,1262865.31629,695927.273611,853875.949405,1300405.08333,746816.75,908610.162801
2012-09-30,564136.942063,1309668.56667,647078.4,845349.046111,1192694.1,733620.2,882091.20914
2012-10-31,584696.02381,1117486.65476,631142.666667,877965.272727,1271519.66667,738058.5,870144.797439
2012-11-30,696150.990476,1217606.33929,751774.25,950560.326389,1353086.58333,743786.5,952160.831581
2012-12-31,680340.147727,1221373.29556,721293.590476,1079650.57374,1388339.53333,720235.8,968538.823472
2013-01-31,620696.408333,998748.66875,658429.271429,1222817.6503,1482185.08333,744428.5,954550.930357
2013-02-28,635085.583333,1154111.7875,713934.125,1113326.98214,1422814.29167,807928.5,974533.54494
2013-03-31,618867.461905,1268608.33203,719399.283333,1073443.98333,1422156.18667,905318.9,1001299.02455
2013-04-30,523166.72123,1245658.1875,713999.729167,948983.64652,1352410.225,688803.5,912170.334903
2013-05-31,554654.779762,1278614.9743,859344.5625,1004957.30486,1435862.33333,667852.0,966880.992459
2013-06-30,625141.082937,1061054.42,807412.805556,918161.976429,1399632.93333,610220.0,903603.869709
2013-07-31,665676.116071,1251773.80486,949644.196429,1098307.03551,1505449.54167,728953.0,1033300.61576
2013-08-31,713626.270476,1404963.8442,916704.528571,954409.295758,1726857.94,748172.3,1077455.6965
2013-09-30,751618.378571,1395939.69375,924293.840476,1241147.3608,1610801.74167,847376.125,1128529.52338
2013-10-31,768300.881944,1479131.02604,1031547.65139,1172141.76656,1493821.36667,899027.875,1140661.76127
2013-11-30,831747.526818,1521257.45312,998182.210845,1146413.98751,1391685.38667,870595.9,1126647.07749
2013-12-31,885024.299519,1400870.44063,914919.476923,1033931.11402,1522378.9,883500.0,1106770.70518
2014-01-31,838885.677564,1240691.0768,1082520.67857,939154.569444,1400875.53333,904208.375,1067722.65179
2014-02-28,872564.435606,1434135.02976,953367.597619,960273.409351,1374535.24167,763512.5,1059731.369
2014-03-31,836315.768846,1281211.12384,1094747.65714,1019644.71869,1599581.62667,969221.4,1133453.71586
2014-04-30,835831.286464,1547588.53968,993721.153409,1046478.22677,1665780.58333,900792.0,1165031.96494
2014-05-31,928093.6,1678139.01149,1036378.54773,1266562.84943,1497455.4,830070.4,1206116.63477
2014-06-30,849193.700699,1647977.12055,1160101.98453,1275493.573,1275707.7,723339.5,1155302.26313
2014-07-31,801579.983333,1822207.54539,1106839.86436,1108138.73798,1472318.72917,715629.625,1171119.08087
2014-08-31,936136.764324,1728815.60635,1001134.49556,1073959.17045,1525077.0,808878.6,1179000.27278
2014-09-30,921101.403497,1614483.3631,1113420.3125,1209203.2447,1387393.0,790285.75,1172647.84563
2014-10-31,1021043.23581,1618734.88826,1113689.90577,1109166.58737,1497785.64583,872040.5,1205410.12717
2014-11-30,1050236.4,1735989.77495,1071775.19121,1129761.44223,1555594.66,974397.0,1252959.07806
2014-12-31,1108753.64365,1676735.0641,1025500.80536,1273386.0903,1628505.30417,1115000.0,1304646.81793
2015-01-31,1099600.12068,1596477.28095,841048.391558,1725400.46991,1730067.6,846062.5,1306442.72718
2015-02-28,1209161.1851,1545800.02639,928350.575,1275004.56576,1816285.47083,868611.125,1273868.82468
2015-03-31,1041129.80753,1504311.32147,1326290.80747,1359326.77997,1669866.83333,819482.25,1286734.6333
2015-04-30,983401.153846,1484030.49961,1455580.39009,1126292.64383,1513086.60417,920094.375,1247080.94442
2015-05-31,1142043.28736,1407195.20138,1731346.62303,1169393.26333,1844135.75,861724.7,1359306.47085
2015-06-30,1043461.75595,2327190.27421,1584476.91558,1173782.66533,1882437.89583,926736.25,1489680.95948
2015-07-31,1043879.15632,1500403.89137,1578923.94196,1189151.63579,1955634.91667,1033175.0,1383528.09035
2015-08-31,1260373.50715,1476411.71111,1386002.76338,2049914.50308,1816652.88333,685988.0,1445890.56134
2015-09-30,1025149.24511,1217047.70401,1406209.35,1490784.82805,1677875.60417,1116380.375,1322241.18439
