,ARSON,ASSAULT,BAD CHECKS,BRIBERY,BURGLARY,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG/NARCOTIC,DRUNKENNESS,EMBEZZLEMENT,EXTORTION,FAMILY OFFENSES,FORGERY/COUNTERFEITING,FRAUD,GAMBLING,KIDNAPPING,LARCENY/THEFT,LIQUOR LAWS,LOITERING,MISSING PERSON,NON-CRIMINAL,OTHER OFFENSES,PORNOGRAPHY/OBSCENE MAT,PROSTITUTION,RECOVERED VEHICLE,ROBBERY,RUNAWAY,SECONDARY CODES,"SEX OFFENSES, FORCIBLE","SEX OFFENSES, NON FORCIBLE",STOLEN PROPERTY,SUICIDE,SUSPICIOUS OCC,TREA,TRESPASS,VANDALISM,VEHICLE THEFT,WARRANTS,WEAPON LAWS,averageListingPrice,alp_allsf
2003-04-30,2,365,4,0,230,47,9,207,12,14,2,2,88,136,0,5,1143,3,16,81,407,486,0,141,0,104,4,25,18,2,23,0,120,0,33,206,514,221,31,,
2003-07-31,8,402,7,0,193,59,10,199,13,5,1,1,91,110,1,8,1321,11,4,82,412,559,0,115,0,107,3,37,25,0,38,3,126,0,44,248,500,282,15,,
2003-10-31,4,414,8,0,233,45,10,171,9,4,0,2,77,116,1,11,1078,3,4,85,380,551,0,146,0,98,8,43,14,0,23,2,105,0,37,213,438,298,27,,
2004-01-31,8,367,5,1,239,27,14,185,21,3,0,1,68,119,0,7,1055,2,1,67,392,613,0,213,0,108,1,31,17,0,25,2,141,0,37,210,452,246,32,,
2004-04-30,7,401,1,0,293,30,13,215,20,6,1,1,94,117,0,14,958,2,4,91,404,583,0,137,0,127,5,31,16,1,18,2,133,0,40,202,432,289,41,,
2004-07-31,6,364,3,1,287,26,11,204,17,6,2,1,68,91,0,14,1191,9,1,93,439,559,0,120,0,114,3,34,19,0,30,6,117,0,43,217,455,309,34,,
2004-10-31,7,368,2,1,277,25,16,222,15,10,0,1,66,63,2,3,1038,7,10,78,416,528,0,138,0,107,4,35,3,0,19,8,126,0,30,244,527,207,31,,
2005-01-31,5,349,3,0,272,25,11,206,13,7,0,5,83,79,0,4,894,15,25,86,365,411,0,94,0,121,4,35,19,0,20,6,128,0,16,195,514,195,27,,
2005-04-30,5,322,3,0,237,24,10,178,17,7,0,0,77,106,2,9,948,8,32,72,403,437,0,84,0,98,13,20,18,0,20,7,117,0,20,192,520,194,31,,
2005-07-31,4,347,3,1,323,28,3,162,17,9,1,0,77,69,1,9,1275,7,20,79,390,442,0,70,0,113,4,38,12,0,21,3,101,0,35,282,561,187,35,,
2005-10-31,8,362,6,0,280,37,8,196,14,4,1,1,59,84,0,7,1330,7,11,87,398,460,0,119,0,124,7,31,15,0,22,3,128,0,34,267,631,195,45,,
2006-01-31,8,330,8,1,318,14,17,211,13,6,1,0,62,87,0,15,1289,7,13,85,383,606,0,89,11,114,5,23,16,0,27,1,133,0,25,246,469,205,29,,
2006-04-30,5,377,7,0,323,21,13,245,20,4,2,1,74,106,1,7,1343,2,2,86,379,539,0,55,24,128,11,33,16,1,24,6,129,0,22,260,227,233,27,,
2006-07-31,4,401,3,1,300,6,11,170,29,7,2,2,76,92,1,5,1377,3,4,90,387,520,0,51,20,140,2,40,16,1,19,7,134,0,38,298,204,212,31,,
