,ARSON,ASSAULT,BAD CHECKS,BRIBERY,BURGLARY,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG/NARCOTIC,DRUNKENNESS,EMBEZZLEMENT,EXTORTION,FAMILY OFFENSES,FORGERY/COUNTERFEITING,FRAUD,GAMBLING,KIDNAPPING,LARCENY/THEFT,LIQUOR LAWS,LOITERING,MISSING PERSON,NON-CRIMINAL,OTHER OFFENSES,PORNOGRAPHY/OBSCENE MAT,PROSTITUTION,RECOVERED VEHICLE,ROBBERY,RUNAWAY,SECONDARY CODES,"SEX OFFENSES, FORCIBLE","SEX OFFENSES, NON FORCIBLE",STOLEN PROPERTY,SUICIDE,SUSPICIOUS OCC,TREA,TRESPASS,VANDALISM,VEHICLE THEFT,WARRANTS,WEAPON LAWS,averageListingPrice,alp_allsf
2003-04-30,4,506,9,1,189,47,11,564,32,14,1,3,105,173,1,10,1545,13,28,78,647,1086,0,8,0,109,2,35,30,1,48,2,138,0,106,206,376,534,42,,
2003-07-31,12,496,8,0,172,15,7,510,43,13,0,4,140,191,1,8,1570,18,3,81,671,923,0,6,0,93,15,31,21,0,63,3,127,0,94,179,387,454,26,,
2003-10-31,7,534,7,3,188,41,11,560,32,16,2,4,142,178,2,14,1420,19,10,84,695,1119,0,2,0,121,7,24,36,1,48,3,146,0,99,210,325,556,41,,
2004-01-31,6,422,9,1,199,41,14,381,27,9,1,6,152,138,1,13,1304,12,1,65,615,935,0,3,0,102,6,30,23,1,50,2,130,0,106,168,319,418,32,,
2004-04-30,4,494,4,0,181,20,13,461,31,6,0,2,103,150,0,7,1379,21,6,88,674,971,0,5,0,118,6,35,36,2,43,4,117,0,66,205,335,474,46,,
2004-07-31,7,477,3,1,206,44,6,366,38,5,3,2,117,129,2,6,1621,11,43,76,710,1106,0,8,0,128,6,29,32,1,47,4,167,0,62,239,373,404,23,,
2004-10-31,5,466,4,1,235,39,8,417,21,10,2,2,110,129,0,9,1549,14,20,82,699,922,0,4,0,136,3,37,33,3,35,4,154,0,74,220,385,359,33,,
2005-01-31,8,441,1,0,270,29,6,404,25,10,2,3,123,121,0,5,1251,13,16,99,771,741,0,9,0,120,9,30,30,3,35,3,177,0,65,161,502,341,41,,
2005-04-30,7,418,3,1,231,21,6,361,24,6,2,1,133,118,0,17,1324,16,9,80,776,815,1,15,0,144,3,29,32,2,27,4,174,0,42,254,338,366,33,,
2005-07-31,4,471,5,1,189,12,5,240,25,9,3,1,125,110,1,9,1542,15,8,86,810,742,0,5,0,148,7,23,32,2,23,6,179,0,40,232,397,327,35,,
2005-10-31,5,462,3,1,163,9,5,299,25,8,0,0,119,114,1,9,1435,17,3,91,871,707,0,7,0,156,4,22,25,0,27,1,165,0,41,234,369,343,42,,
2006-01-31,7,394,2,1,180,18,10,295,26,24,3,4,123,139,1,9,1386,15,3,101,800,620,0,5,8,167,1,29,33,1,35,1,182,0,52,212,291,322,25,,
2006-04-30,5,466,2,0,171,7,6,307,24,14,1,2,130,127,1,11,1531,20,3,82,779,651,0,7,18,145,1,39,29,2,52,2,209,0,47,298,126,352,32,,
2006-07-31,4,502,2,0,213,8,8,298,42,10,1,1,131,131,2,15,1612,8,2,83,805,610,0,7,21,190,2,41,38,3,33,5,176,0,73,281,189,313,29,,
2006-10-31,9,512,2,2,233,21,4,340,38,9,3,2,98,130,1,10,1692,13,1,99,770,637,0,5,31,196,2,32,29,0,25,0,167,0,62,277,174,301,40,,
2007-01-31,5,435,8,1,239,17,9,370,33,20,0,2,106,97,0,20,1492,6,2,89,711,691,0,4,20,153,8,34,32,0,34,2,188,0,61,205,163,342,26,,
2007-04-30,1,478,1,0,191,15,7,467,28,10,1,4,143,123,5,8,1343,11,30,112,704,751,0,6,20,151,4,52,32,2,29,4,167,0,50,257,140,336,49,,
2007-07-31,11,529,4,3,179,20,10,477,39,12,4,2,137,137,3,25,1695,17,92,85,835,825,0,6,24,179,5,39,40,6,34,5,179,0,57,309,172,310,36,,
2007-10-31,6,498,3,0,207,12,8,397,38,13,2,1,130,134,1,15,1663,22,106,89,696,786,0,1,27,161,6,48,37,2,31,6,195,0,37,270,177,360,42,,
2008-01-31,5,484,0,3,201,16,11,455,29,7,1,3,124,128,1,13,1481,17,35,86,655,749,0,6,27,168,3,54,40,1,27,7,163,0,48,221,127,347,39,,
2008-04-30,10,485,5,0,149,20,7,469,47,14,1,3,162,133,0,15,1378,17,70,86,667,882,0,5,20,138,2,35,34,2,28,0,180,0,40,197,139,327,46,,
2008-07-31,10,471,8,1,203,34,12,483,38,7,4,0,147,164,1,12,1423,68,52,76,708,1038,0,11,24,164,3,40,27,2,28,3,193,0,43,211,132,320,38,,
2008-10-31,4,484,1,2,177,26,9,519,42,17,0,1,133,155,0,5,1569,22,103,76,723,965,0,9,21,183,2,48,27,0,41,2,154,0,48,240,175,306,33,,
2009-01-31,5,415,6,2,212,11,12,475,46,17,2,6,127,177,2,12,1340,17,42,90,612,1029,0,2,17,151,3,40,42,0,35,2,153,0,45,205,172,267,37,,
2009-04-30,9,466,3,1,196,21,18,567,45,12,4,0,129,143,0,11,1306,20,6,101,681,1076,0,8,6,106,2,48,26,0,42,2,144,0,53,203,154,321,54,,
2009-07-31,10,435,2,0,221,13,8,453,44,12,0,1,123,160,1,15,1449,25,3,81,649,910,0,2,25,148,6,54,38,1,34,1,160,0,43,218,118,305,43,951498.5,839967.798809
2009-10-31,3,478,2,3,197,8,15,578,42,6,1,4,108,154,1,16,1759,22,4,127,759,1040,0,7,16,165,3,52,39,0,49,2,165,0,52,279,131,362,43,923456.386905,838433.89443
2010-01-31,10,435,3,2,208,20,10,449,44,9,0,3,104,151,0,22,1554,10,5,118,627,813,0,2,17,150,7,58,37,2,48,1,159,0,58,315,84,327,55,972041.579684,798370.493938
2010-04-30,7,485,2,0,144,19,5,449,43,8,4,2,75,147,0,10,1374,18,6,126,666,877,0,8,17,125,1,65,36,1,44,3,205,0,55,283,75,366,43,955193.041667,816067.224205
2010-07-31,15,568,6,4,212,16,14,440,28,10,4,5,57,172,0,12,1675,13,8,161,894,932,0,6,19,155,5,77,47,1,35,4,314,0,54,372,86,372,63,961974.825,802602.010108
2010-10-31,10,599,4,4,147,16,25,453,57,12,3,0,66,194,0,20,1724,18,10,199,938,976,0,6,16,178,3,65,31,0,48,5,350,0,76,305,116,459,37,1011237.60256,793002.571043
