,BAYVIEW,CENTRAL,INGLESIDE,MISSION,NORTHERN,PARK,RICHMOND,SOUTHERN,TARAVAL,TENDERLOIN,ALL
2003-04-30,3806,3408,3574,5306,4701,2096,1910,6704,2958,3200,37663
2003-07-31,4023,3367,3339,5099,5040,1884,1931,6385,2775,3075,36918
2003-10-31,4011,3639,3696,5626,4658,2228,2040,6707,2766,3370,38741
2004-01-31,3798,3298,3426,5172,4710,1998,1783,5742,2953,3104,35984
2004-04-30,4185,3386,3864,5361,4729,2023,1984,6107,2970,3232,37841
2004-07-31,4171,3639,3475,5451,4894,2042,2080,6502,3067,2827,38148
2004-10-31,3800,3347,3298,5188,4634,2112,1865,6224,3015,3002,36485
2005-01-31,3585,3344,3342,4794,4232,2058,1796,5865,2970,2942,34928
2005-04-30,3608,3249,3399,5106,4231,1862,1786,5833,2933,2874,34881
2005-07-31,3930,3475,3258,4815,4729,2122,1841,5869,2861,2940,35840
2005-10-31,3905,3421,3273,4993,4981,2145,1852,5783,2942,3256,36551
2006-01-31,3639,3118,3227,4491,4867,1925,1736,5525,2884,2995,34407
2006-04-30,3434,3363,2943,4728,4753,1943,1686,5699,2584,2878,34011
2006-07-31,3627,3366,3079,4758,4704,2050,1617,5889,2829,2888,34807
2006-10-31,3763,3379,3325,5048,4830,2019,1637,5967,2734,3017,35719
2007-01-31,3366,2987,3361,4461,4256,1814,1496,5625,2634,3084,33084
2007-04-30,3519,3213,3284,4566,4228,1753,1476,5732,2289,3354,33414
2007-07-31,3433,3449,3078,4525,4001,1732,1617,6542,2465,3424,34266
2007-10-31,3513,3431,3188,4680,4297,1887,1756,6227,2796,4099,35874
2008-01-31,3593,3240,3019,4786,3799,1864,1813,5782,2538,4034,34468
2008-04-30,3607,3193,3028,4760,4078,1802,1817,5813,2833,3903,34834
2008-07-31,3431,3288,3060,4769,3780,1784,1754,6199,2679,4160,34904
2008-10-31,3542,3676,3106,5299,4120,1838,1577,6322,2610,4377,36467
2009-01-31,3329,3409,2945,5040,4086,1741,1662,5828,2598,4413,35051
2009-04-30,3172,3168,3056,4855,4088,2004,1732,5984,2834,4586,35479
2009-07-31,3181,3219,3015,4545,3844,1747,1598,5811,2298,3885,33143
2009-10-31,3858,3500,3213,4759,4101,1961,1820,6692,2718,4694,37316
2010-01-31,3550,3046,2963,4678,3793,1874,1691,5917,2431,3421,33364
2010-04-30,3352,2766,3088,4298,3481,1855,1585,5794,2086,3552,31857
2010-07-31,3467,3118,2985,4605,3540,1538,1555,6856,2200,3512,33376
2010-10-31,3754,3283,3301,4628,3499,1778,1801,7170,2586,3545,35345
2011-01-31,3514,3173,3027,4620,3732,1672,1590,6374,2437,3072,33211
2011-04-30,3487,3055,3022,4401,3520,1785,1658,6014,2577,3093,32612
2011-07-31,3444,3184,2890,4612,3524,1921,1553,6447,2377,3238,33190
2011-10-31,3452,3225,2989,4683,3604,2017,1693,6372,2545,3197,33777
2012-01-31,3567,3240,2981,4443,4007,1941,1720,5869,2410,2944,33122
2012-04-30,3580,3282,3196,4444,3664,2080,1853,6017,2544,2985,33645
2012-07-31,3556,3602,2881,4648,3929,2177,1916,6235,2487,2957,34388
2012-10-31,3728,3696,3264,5033,4448,2366,2080,7143,2855,2819,37432
2013-01-31,3664,3618,3245,4753,4590,2218,1956,6685,2747,3041,36517
2013-04-30,3759,3265,3500,5292,4613,2204,2061,6616,2720,3098,37128
2013-07-31,3637,3666,3285,5445,4221,2512,2178,7483,2551,3308,38286
2013-10-31,3857,4217,3366,5473,4820,2509,2244,8424,2853,3423,41186
2014-01-31,3506,3748,3009,5150,4371,2284,1992,6729,2488,2962,36239
2014-04-30,3417,4050,3136,4921,4327,2575,2005,6759,2618,2998,36806
2014-07-31,3728,4288,3172,4759,4278,2276,1941,6965,2587,2975,36969
2014-10-31,3396,4706,3465,4997,5050,2376,2093,7868,2622,2795,39368
2015-01-31,3313,4517,3168,4566,4904,2031,2048,7611,2851,2684,37693
2015-04-30,3601,4681,3554,4554,4990,2170,2417,7198,2824,2847,38836
2015-07-31,3632,4955,3322,4685,5202,2380,2194,7515,3274,2686,39845
2015-10-31,3771,4667,3145,4557,4779,2443,2293,7926,2855,2547,38983
