,BAYVIEW,CENTRAL,INGLESIDE,MISSION,NORTHERN,PARK,RICHMOND,SOUTHERN,TARAVAL,TENDERLOIN,ALL
2003-02-28,153,89,144,113,134,54,49,146,73,95,1050
2003-03-31,144,111,145,173,125,68,54,193,103,115,1231
2003-04-30,137,82,124,148,106,52,51,167,64,85,1016
2003-05-31,156,70,155,138,120,61,50,172,94,101,1117
2003-06-30,141,88,101,130,150,61,46,167,88,88,1060
2003-07-31,153,108,142,145,132,42,56,157,80,94,1109
2003-08-31,129,90,180,118,144,46,66,180,78,108,1139
2003-09-30,168,92,161,159,128,68,46,173,111,129,1235
2003-10-31,143,103,149,192,142,71,58,181,81,112,1232
2003-11-30,139,102,147,147,104,69,52,140,105,92,1097
2003-12-31,142,79,147,128,110,45,51,143,76,80,1001
2004-01-31,171,93,130,111,153,50,66,139,74,108,1095
2004-02-29,131,85,159,156,124,68,58,153,81,78,1093
2004-03-31,176,92,163,173,149,66,53,191,86,87,1236
2004-04-30,158,100,139,151,128,56,54,150,75,110,1121
2004-05-31,142,92,171,166,116,54,44,167,102,87,1141
2004-06-30,126,83,104,138,118,45,58,160,68,90,990
2004-07-31,139,113,115,141,130,60,41,150,87,94,1070
2004-08-31,138,86,98,170,116,51,49,159,74,98,1039
2004-09-30,155,91,116,141,125,76,50,131,94,87,1066
2004-10-31,122,132,138,143,127,60,47,176,84,86,1115
2004-11-30,119,99,111,144,103,51,52,151,75,85,990
2004-12-31,121,90,113,127,129,52,37,124,60,90,943
2005-01-31,115,96,122,111,117,57,31,166,84,81,980
2005-02-28,111,75,100,129,103,35,34,127,71,83,868
2005-03-31,120,87,105,136,106,38,40,152,75,90,949
2005-04-30,134,88,119,131,113,42,48,139,78,90,982
2005-05-31,145,81,139,141,116,56,35,164,73,90,1040
2005-06-30,101,87,104,126,114,52,48,141,78,92,943
2005-07-31,111,93,106,143,117,47,40,166,59,114,996
2005-08-31,112,69,96,122,103,45,42,135,63,90,877
2005-09-30,116,84,116,134,120,72,54,165,72,107,1040
2005-10-31,110,87,125,181,139,66,36,162,87,90,1083
2005-11-30,101,99,104,141,122,53,44,126,68,90,948
2005-12-31,97,99,112,142,103,43,28,126,69,76,895
2006-01-31,110,90,124,139,105,54,41,142,79,111,995
2006-02-28,110,83,93,138,111,45,40,150,90,101,961
2006-03-31,137,97,121,149,132,56,49,165,86,113,1105
2006-04-30,151,116,112,142,134,56,34,151,72,100,1068
2006-05-31,139,97,111,173,130,57,52,178,72,112,1121
2006-06-30,124,91,107,154,139,68,53,151,91,115,1093
2006-07-31,155,99,124,154,132,49,37,173,65,124,1112
2006-08-31,143,106,119,138,131,48,44,179,75,116,1099
2006-09-30,154,72,129,172,126,44,43,164,92,99,1095
2006-10-31,116,77,122,177,108,40,44,169,84,115,1052
2006-11-30,126,74,107,109,99,41,24,144,68,78,870
2006-12-31,103,74,113,111,99,38,38,138,59,105,878
2007-01-31,108,111,138,126,96,47,49,153,69,110,1007
2007-02-28,113,73,141,132,98,45,47,146,63,88,946
2007-03-31,141,85,138,137,119,40,48,166,75,118,1067
2007-04-30,122,93,146,154,99,44,42,166,79,133,1078
2007-05-31,117,81,121,143,116,39,41,161,72,126,1017
2007-06-30,108,92,134,132,103,45,37,191,60,122,1024
2007-07-31,132,98,104,179,106,29,41,177,62,129,1057
2007-08-31,133,106,114,157,106,37,36,161,59,123,1032
2007-09-30,155,95,137,133,127,38,55,165,86,149,1140
2007-10-31,141,97,142,155,117,46,38,172,78,116,1102
2007-11-30,115,85,107,139,122,47,42,163,70,106,996
2007-12-31,115,105,131,150,92,49,43,160,74,133,1052
2008-01-31,123,112,107,139,104,46,45,161,81,123,1041
2008-02-29,128,97,120,133,132,37,45,148,71,92,1003
2008-03-31,133,122,120,194,112,61,39,170,71,126,1148
2008-04-30,96,93,96,152,121,37,38,167,69,114,983
2008-05-31,130,92,130,180,105,52,60,182,71,129,1131
2008-06-30,130,109,110,142,95,37,53,135,65,139,1015
2008-07-31,135,107,101,191,129,47,33,154,54,90,1041
2008-08-31,91,118,118,161,137,54,37,160,58,106,1040
2008-09-30,155,99,127,185,109,54,51,185,81,113,1159
2008-10-31,143,110,119,170,114,46,39,139,92,136,1108
2008-11-30,125,95,114,154,97,50,46,141,90,124,1036
2008-12-31,121,96,119,118,109,50,50,134,78,101,976
2009-01-31,112,97,111,189,107,37,41,140,83,123,1040
2009-02-28,105,103,107,142,99,39,34,131,70,106,936
2009-03-31,150,99,143,132,119,48,49,170,86,107,1103
2009-04-30,149,81,129,178,104,57,62,165,71,116,1112
2009-05-31,129,88,123,169,122,49,42,165,76,89,1052
2009-06-30,114,95,95,134,116,56,30,125,62,126,953
2009-07-31,123,71,101,136,115,48,32,145,52,109,932
2009-08-31,156,125,100,137,103,44,46,160,68,146,1085
2009-09-30,136,123,131,144,100,42,45,159,63,102,1045
2009-10-31,124,97,116,170,122,59,61,159,61,122,1091
2009-11-30,161,100,95,146,117,47,48,161,62,108,1045
2009-12-31,103,80,115,139,87,45,46,128,66,81,890
2010-01-31,144,85,108,124,92,44,36,146,94,134,1007
2010-02-28,131,74,128,137,95,37,50,154,58,102,966
2010-03-31,129,87,133,131,96,42,44,162,54,117,995
2010-04-30,140,89,140,103,97,33,38,169,78,121,1008
2010-05-31,155,89,117,165,90,62,36,158,94,119,1085
2010-06-30,127,96,113,154,115,49,40,205,64,115,1078
2010-07-31,105,107,134,126,81,48,39,205,84,92,1021
2010-08-31,117,89,113,144,102,41,50,175,100,92,1023
2010-09-30,145,106,101,145,102,44,47,217,76,92,1075
2010-10-31,150,96,109,168,130,44,61,207,98,113,1176
2010-11-30,104,85,105,139,108,32,39,161,77,110,960
2010-12-31,148,99,113,118,96,30,42,167,82,99,994
2011-01-31,134,100,92,147,103,45,42,213,67,112,1055
2011-02-28,121,97,87,126,73,36,52,153,71,70,886
2011-03-31,158,87,105,148,85,35,45,189,65,112,1029
2011-04-30,163,91,112,161,98,43,24,186,73,90,1041
2011-05-31,143,90,118,123,113,40,49,188,71,111,1046
2011-06-30,110,82,113,143,95,43,44,181,50,86,947
2011-07-31,158,100,102,128,98,34,42,203,72,103,1040
2011-08-31,137,75,116,132,106,41,53,169,69,119,1017
