,BAYVIEW,CENTRAL,INGLESIDE,MISSION,NORTHERN,PARK,RICHMOND,SOUTHERN,TARAVAL,TENDERLOIN,ALL
2003-02-28,56,33,49,53,74,43,42,42,44,15,451
2003-03-31,56,55,59,80,77,40,56,71,52,16,562
2003-04-30,57,77,50,69,79,41,43,76,45,21,558
2003-05-31,72,96,55,66,73,45,45,66,48,18,584
2003-06-30,68,77,39,60,62,35,16,48,42,10,457
2003-07-31,49,52,40,57,58,46,41,58,40,17,458
2003-08-31,70,59,34,53,74,49,39,57,33,20,488
2003-09-30,47,49,39,41,73,44,26,60,32,30,441
2003-10-31,55,88,34,56,86,65,43,71,44,24,566
2003-11-30,48,64,59,49,81,59,29,77,29,18,513
2003-12-31,49,62,42,46,74,44,43,58,36,23,477
2004-01-31,44,75,40,49,84,38,55,64,54,31,534
2004-02-29,47,58,44,45,86,37,42,48,54,17,478
2004-03-31,69,79,60,44,111,50,52,60,50,29,604
2004-04-30,55,66,58,67,96,35,43,73,59,22,574
2004-05-31,74,63,50,54,94,40,42,82,67,23,589
2004-06-30,29,83,40,66,82,41,53,58,51,27,530
2004-07-31,52,86,57,61,111,47,36,66,38,15,569
2004-08-31,48,79,37,71,101,47,33,94,37,25,572
2004-09-30,46,67,39,63,81,44,29,66,49,12,496
2004-10-31,58,65,66,76,95,37,39,75,42,22,575
2004-11-30,80,72,61,44,99,63,44,77,45,24,609
2004-12-31,68,85,71,48,75,65,49,79,64,19,623
2005-01-31,69,79,77,73,98,52,48,114,60,28,698
2005-02-28,53,77,54,59,72,40,42,83,46,21,547
2005-03-31,78,75,57,71,86,47,61,98,70,11,654
2005-04-30,53,71,61,69,79,34,52,50,57,25,551
2005-05-31,56,115,51,73,94,37,47,65,58,26,622
2005-06-30,51,82,42,79,102,56,50,61,44,19,586
2005-07-31,78,104,45,61,127,84,51,63,52,26,691
2005-08-31,64,65,35,80,122,62,32,57,56,22,595
2005-09-30,70,59,44,85,66,34,31,62,66,14,531
2005-10-31,86,72,39,48,92,30,37,44,60,18,526
2005-11-30,64,58,57,37,107,31,31,54,55,17,511
2005-12-31,61,76,47,41,114,35,47,63,54,21,559
2006-01-31,61,86,33,45,97,48,41,63,25,28,527
2006-02-28,46,66,37,55,94,54,50,43,54,16,515
2006-03-31,44,75,41,65,113,68,48,66,34,22,576
2006-04-30,66,74,39,64,116,75,59,62,42,19,616
2006-05-31,70,87,34,65,104,73,35,72,59,22,621
2006-06-30,65,63,58,61,94,62,42,70,44,41,600
2006-07-31,83,97,53,63,102,63,46,71,49,29,656
2006-08-31,89,69,47,69,129,58,40,84,46,27,658
2006-09-30,75,88,51,54,75,31,47,80,43,18,562
2006-10-31,52,53,67,58,84,37,33,69,40,15,508
2006-11-30,37,71,59,78,80,50,31,87,69,23,585
2006-12-31,40,62,56,72,84,72,29,87,53,25,580
2007-01-31,68,50,46,44,96,39,39,65,42,12,501
2007-02-28,49,26,36,40,62,23,30,54,40,22,382
2007-03-31,41,44,25,48,83,26,18,77,48,16,426
2007-04-30,65,60,50,34,83,37,30,60,37,20,476
2007-05-31,46,45,53,51,62,24,32,50,48,15,426
2007-06-30,71,56,54,42,63,17,28,68,35,14,448
2007-07-31,79,85,44,41,81,26,30,61,38,24,509
2007-08-31,74,47,28,59,75,26,26,83,43,13,474
2007-09-30,52,46,34,28,60,24,27,45,53,16,385
2007-10-31,61,59,45,42,63,29,18,79,46,14,456
2007-11-30,64,54,47,55,62,34,25,69,51,21,482
2007-12-31,65,62,47,60,59,31,29,72,34,30,489
2008-01-31,43,58,28,46,74,32,25,60,48,20,434
2008-02-29,38,36,36,31,81,40,22,34,47,17,382
2008-03-31,52,44,58,44,82,28,28,59,52,23,470
2008-04-30,72,45,43,34,80,33,29,56,34,14,440
2008-05-31,42,46,43,52,74,29,37,74,37,24,458
2008-06-30,53,62,47,29,69,34,22,66,39,17,438
2008-07-31,58,55,63,69,55,46,29,63,48,14,500
2008-08-31,57,51,48,39,88,44,26,55,45,20,473
2008-09-30,69,64,35,70,100,48,33,55,41,27,542
2008-10-31,71,57,36,68,88,36,22,67,32,17,494
2008-11-30,60,79,45,54,92,36,27,68,32,30,523
2008-12-31,63,64,48,35,91,31,31,94,54,14,525
2009-01-31,54,52,38,42,77,36,37,50,37,18,441
2009-02-28,45,44,37,35,65,29,19,56,38,21,389
2009-03-31,66,51,39,44,96,45,21,73,37,27,499
2009-04-30,58,67,47,37,79,32,33,67,48,23,491
2009-05-31,55,45,41,39,69,37,34,75,27,19,441
2009-06-30,61,46,44,41,72,18,18,78,34,20,432
2009-07-31,52,70,38,46,89,27,24,68,37,24,475
2009-08-31,72,55,36,37,68,26,29,63,40,27,453
2009-09-30,70,45,31,35,68,17,31,71,33,14,415
2009-10-31,51,46,37,29,83,20,34,63,49,18,430
2009-11-30,54,57,29,41,75,17,25,83,36,20,437
2009-12-31,64,45,35,38,85,31,39,72,45,22,476
2010-01-31,52,49,27,43,82,23,30,53,43,19,421
2010-02-28,45,52,26,27,60,30,35,49,30,20,374
2010-03-31,49,33,39,35,78,30,32,54,34,20,404
2010-04-30,60,47,50,35,92,31,27,41,39,14,436
2010-05-31,53,82,53,35,90,19,31,64,54,11,492
2010-06-30,50,62,26,40,91,16,17,64,58,33,457
2010-07-31,43,42,46,30,61,28,35,84,38,25,432
2010-08-31,42,48,51,34,49,29,21,55,52,22,403
2010-09-30,43,46,47,25,43,29,38,49,46,19,385
2010-10-31,55,44,33,30,51,35,27,43,46,29,393
2010-11-30,55,39,36,32,71,22,38,48,28,13,382
2010-12-31,42,46,44,36,51,35,26,59,35,13,387
2011-01-31,62,57,30,28,61,26,49,78,36,15,442
2011-02-28,29,30,31,19,49,21,30,51,38,17,315
2011-03-31,38,46,32,29,42,25,40,54,53,15,374
2011-04-30,47,47,26,24,55,25,27,53,42,31,377
2011-05-31,45,55,31,20,55,28,36,67,43,26,406
2011-06-30,37,49,37,40,64,21,27,56,38,21,390
2011-07-31,43,29,44,47,48,35,27,47,41,17,378
2011-08-31,45,47,39,40,66,52,37,70,46,24,466
2011-09-30,49,59,35,53,47,52,39,50,62,21,467
2011-10-31,46,40,43,32,56,45,29,53,57,20,421
2011-11-30,56,46,39,35,89,37,29,53,71,20,475
2011-12-31,50,47,46,37,79,46,32,56,63,20,476
2012-01-31,59,49,31,44,70,45,32,57,63,21,471
2012-02-29,52,46,33,36,80,42,47,50,63,16,465
2012-03-31,48,42,55,36,73,51,34,59,59,18,475
2012-04-30,37,38,63,42,107,47,37,67,75,23,536
2012-05-31,46,52,58,74,75,50,40,51,59,19,524
2012-06-30,58,52,41,55,71,40,44,66,53,15,495
2012-07-31,53,63,33,59,75,42,35,92,43,27,522
2012-08-31,67,76,33,47,95,41,35,65,58,30,547
2012-09-30,43,53,48,52,78,53,36,51,51,17,482
2012-10-31,70,72,59,62,81,57,42,55,78,18,594
2012-11-30,52,61,48,55,92,48,57,71,64,36,584
2012-12-31,57,71,39,53,94,33,42,85,56,20,550
2013-01-31,43,50,43,57,79,40,44,73,61,17,507
2013-02-28,39,44,45,30,76,42,37,50,53,24,440
2013-03-31,42,57,58,45,78,32,49,85,56,17,519
2013-04-30,37,65,44,43,87,44,54,87,56,23,540
2013-05-31,38,56,44,50,67,55,56,69,50,23,508
2013-06-30,29,48,50,47,84,57,39,81,30,19,484
2013-07-31,31,72,19,72,72,51,52,87,43,35,534
2013-08-31,65,60,48,49,73,49,42,94,32,22,534
2013-09-30,58,71,49,56,78,54,45,70,66,21,568
2013-10-31,43,66,50,58,72,46,45,77,47,21,525
2013-11-30,41,61,35,55,104,34,52,75,38,23,518
2013-12-31,57,70,50,57,76,36,41,72,36,24,519
2014-01-31,50,84,41,65,89,50,59,83,66,31,618
2014-02-28,44,84,32,45,75,45,32,84,44,21,506
2014-03-31,31,98,38,70,104,52,39,78,34,19,563
2014-04-30,31,85,34,54,62,49,31,77,48,14,485
2014-05-31,36,92,30,57,81,32,28,62,46,21,485
2014-06-30,47,50,46,54,70,26,17,76,37,20,443
2014-07-31,47,66,42,60,73,29,42,73,48,19,499
2014-08-31,32,67,40,61,69,27,33,82,50,18,479
2014-09-30,40,56,43,49,61,35,33,61,57,22,457
2014-10-31,46,130,48,62,66,21,19,84,53,24,553
2014-11-30,48,50,47,52,58,37,18,77,60,16,463
2014-12-31,37,61,67,48,71,38,25,89,69,14,519
2015-01-31,54,61,52,64,64,35,25,78,51,10,494
2015-02-28,49,67,47,54,89,32,34,65,32,10,479
2015-03-31,43,55,53,56,88,42,40,70,45,21,513
2015-04-30,41,61,46,56,76,46,42,48,52,20,488
2015-05-31,61,78,71,60,80,37,43,61,62,12,565
2015-06-30,49,66,51,44,78,47,25,85,39,13,497
2015-07-31,45,56,45,66,67,45,23,85,36,21,489
2015-08-31,48,60,36,52,78,43,32,83,34,24,490
2015-09-30,49,58,33,54,63,33,40,71,54,10,465
2015-10-31,44,60,41,54,61,34,27,81,40,11,453
2015-11-30,49,40,49,58,72,31,36,69,36,4,444
