,BAYVIEW,CENTRAL,INGLESIDE,MISSION,NORTHERN,PARK,RICHMOND,SOUTHERN,TARAVAL,TENDERLOIN,ALL
2003-04-30,22,20,9,47,47,11,5,47,5,15,228
2003-07-31,24,31,5,45,59,7,5,15,6,6,203
2003-10-31,13,30,11,54,45,13,8,41,9,11,235
2004-01-31,16,33,11,41,27,14,4,41,6,8,201
2004-04-30,3,49,5,76,30,15,8,20,8,4,218
2004-07-31,9,30,6,77,26,13,5,44,11,9,230
2004-10-31,5,39,4,46,25,25,3,39,7,5,198
2005-01-31,11,30,4,47,25,23,0,29,11,7,187
2005-04-30,8,28,9,60,24,10,4,21,11,5,180
2005-07-31,9,20,9,43,28,17,2,12,16,3,159
2005-10-31,20,20,10,34,37,14,10,9,7,7,168
2006-01-31,24,7,7,28,14,17,4,18,16,4,139
2006-04-30,7,21,7,46,21,16,6,7,12,7,150
2006-07-31,7,18,1,30,6,13,3,8,5,5,96
2006-10-31,9,13,10,50,23,7,3,21,9,6,151
2007-01-31,6,15,3,43,11,8,5,17,12,4,124
2007-04-30,4,27,5,50,11,9,3,15,7,5,136
2007-07-31,5,29,6,44,12,17,7,20,11,8,159
2007-10-31,6,22,11,68,9,8,4,12,8,10,158
2008-01-31,4,11,4,50,7,9,5,16,7,10,123
2008-04-30,7,13,9,31,8,6,8,20,6,34,142
2008-07-31,5,25,5,49,11,4,3,34,3,75,214
2008-10-31,6,21,7,40,22,9,2,26,4,94,231
2009-01-31,3,16,7,69,10,10,6,11,4,119,255
2009-04-30,7,11,7,69,11,17,5,21,5,111,264
2009-07-31,9,12,7,66,9,12,3,13,4,79,214
2009-10-31,14,20,5,50,13,20,5,8,6,85,226
2010-01-31,11,18,7,71,12,30,6,20,7,50,232
2010-04-30,4,13,10,68,14,18,6,19,3,76,231
2010-07-31,12,12,12,51,4,0,3,16,5,84,199
2010-10-31,14,23,8,69,18,9,2,16,7,62,228
2011-01-31,10,17,6,39,24,8,4,21,8,29,166
2011-04-30,6,16,6,46,27,22,4,14,4,51,196
2011-07-31,5,13,6,48,17,9,3,28,9,66,204
2011-10-31,4,17,11,37,12,1,5,26,7,61,181
2012-01-31,3,18,6,23,24,11,3,25,6,55,174
2012-04-30,5,13,8,30,24,15,6,19,4,67,191
2012-07-31,5,14,7,18,32,6,2,27,7,56,174
2012-10-31,4,14,10,21,37,8,1,25,5,53,178
2013-01-31,8,10,11,38,14,9,3,18,2,39,152
2013-04-30,7,12,8,38,19,3,5,15,4,30,141
2013-07-31,5,14,8,40,4,7,3,14,4,13,112
2013-10-31,5,17,9,22,5,8,4,20,7,6,103
2014-01-31,10,11,1,39,3,7,3,10,1,5,90
2014-04-30,10,10,3,39,6,2,1,9,3,8,91
2014-07-31,13,7,3,25,5,7,2,12,0,8,82
2014-10-31,8,9,4,17,11,8,2,13,4,5,81
2015-01-31,8,10,5,31,9,4,2,19,3,10,101
2015-04-30,8,19,4,21,2,7,0,10,3,6,80
2015-07-31,7,12,2,33,24,8,5,44,6,10,151
2015-10-31,15,18,1,36,11,10,1,37,3,7,139
