,BAYVIEW,CENTRAL,INGLESIDE,MISSION,NORTHERN,PARK,RICHMOND,SOUTHERN,TARAVAL,TENDERLOIN,ALL
2003-04-30,201,103,110,525,207,104,29,564,61,625,2529
2003-07-31,227,60,66,528,199,79,41,510,60,636,2406
2003-10-31,210,82,97,536,171,122,52,560,60,668,2558
2004-01-31,247,86,88,478,185,89,32,381,52,753,2391
2004-04-30,294,88,95,546,215,81,35,461,31,772,2618
2004-07-31,333,79,84,486,204,67,36,366,60,591,2306
2004-10-31,259,72,98,471,222,95,31,417,100,798,2563
2005-01-31,196,71,68,362,206,87,49,404,44,791,2278
2005-04-30,194,54,84,509,178,92,32,361,60,706,2270
2005-07-31,184,44,69,347,162,78,12,240,62,708,1906
2005-10-31,203,38,70,378,196,103,16,299,50,854,2207
2006-01-31,213,37,98,374,211,83,29,295,54,690,2084
2006-04-30,184,54,91,544,245,94,31,307,41,621,2212
2006-07-31,233,51,113,428,170,98,43,298,54,644,2132
2006-10-31,221,67,75,541,293,130,55,340,66,731,2519
2007-01-31,184,72,108,415,258,88,41,370,45,815,2396
2007-04-30,222,61,136,449,320,161,54,467,41,899,2810
2007-07-31,152,63,104,288,173,131,42,477,61,818,2309
2007-10-31,191,87,101,380,179,145,58,397,63,1008,2609
2008-01-31,219,89,110,445,213,131,14,455,66,1130,2872
2008-04-30,200,84,93,457,242,118,41,469,82,1188,2974
2008-07-31,155,105,100,352,149,140,29,483,97,1183,2793
2008-10-31,106,112,117,460,141,130,34,519,96,1259,2974
2009-01-31,134,105,94,406,177,115,42,475,97,1313,2958
2009-04-30,170,123,122,403,254,152,41,567,113,1356,3301
2009-07-31,127,68,104,306,161,156,51,453,97,1070,2593
2009-10-31,235,115,86,388,213,154,45,578,108,1388,3310
2010-01-31,187,78,122,395,166,189,62,449,93,839,2580
2010-04-30,191,72,148,335,199,133,64,449,55,813,2459
2010-07-31,166,76,167,376,236,67,51,440,50,724,2353
2010-10-31,159,74,140,344,163,118,58,453,66,714,2289
2011-01-31,149,51,108,292,157,119,36,386,65,599,1962
2011-04-30,151,46,104,252,163,95,41,377,67,604,1900
2011-07-31,180,34,89,213,140,100,28,293,66,604,1747
2011-10-31,166,47,51,251,127,76,44,272,67,506,1607
2012-01-31,157,57,80,221,144,75,33,236,52,500,1555
2012-04-30,182,70,93,234,145,159,46,268,59,522,1778
2012-07-31,176,53,61,188,129,81,44,227,42,498,1499
2012-10-31,166,46,90,212,139,109,52,210,61,455,1540
2013-01-31,165,48,78,215,162,82,45,253,81,491,1620
2013-04-30,172,43,108,268,195,117,39,337,64,468,1811
2013-07-31,134,52,75,289,173,72,50,403,40,447,1735
2013-10-31,157,76,80,249,199,93,44,290,55,455,1698
2014-01-31,115,82,83,242,131,110,35,278,35,375,1486
2014-04-30,119,101,97,224,164,133,47,300,42,372,1599
2014-07-31,121,89,63,200,176,85,54,233,25,321,1367
2014-10-31,121,101,79,213,163,65,42,211,47,269,1311
2015-01-31,92,43,72,158,118,67,17,148,33,227,975
2015-04-30,105,77,62,158,108,30,11,166,36,275,1028
2015-07-31,97,35,37,146,115,45,16,134,19,246,890
2015-10-31,111,56,56,185,137,69,20,196,30,286,1146
