,BAYVIEW,CENTRAL,INGLESIDE,MISSION,NORTHERN,PARK,RICHMOND,SOUTHERN,TARAVAL,TENDERLOIN,ALL
2003-07-31,16,59,21,41,25,40,11,75,13,46,347
2004-01-31,15,64,21,37,30,24,10,59,8,23,291
2004-07-31,21,62,20,61,37,26,7,69,10,23,336
2005-01-31,14,41,17,48,28,54,11,46,5,16,280
2005-07-31,18,37,14,65,34,31,11,49,30,13,302
2006-01-31,28,48,13,42,27,29,8,51,64,17,327
2006-07-31,27,39,26,46,49,31,7,66,47,18,356
2007-01-31,13,50,16,64,31,28,8,71,32,21,334
2007-07-31,14,36,14,85,39,32,8,67,28,19,342
2008-01-31,19,47,16,85,20,26,15,67,24,25,344
2008-07-31,7,40,11,68,34,25,7,85,24,28,329
2009-01-31,14,59,18,89,27,25,12,88,20,36,388
2009-07-31,14,45,19,71,34,47,11,89,28,53,411
2010-01-31,16,40,17,33,25,56,17,86,15,70,375
2010-07-31,19,46,17,51,23,16,10,71,12,66,331
2011-01-31,14,26,15,59,29,35,21,94,24,56,373
2011-07-31,14,31,9,71,15,28,10,79,13,24,294
2012-01-31,48,39,21,43,24,20,14,78,24,52,363
2012-07-31,19,43,14,46,13,23,14,71,17,34,294
2013-01-31,42,32,10,57,18,33,18,78,20,37,345
2013-07-31,15,40,21,91,37,26,16,153,21,52,472
2014-01-31,40,28,15,72,23,28,11,175,18,84,494
2014-07-31,20,47,16,77,21,15,11,60,13,40,320
2015-01-31,13,36,21,73,25,17,14,53,19,18,289
2015-07-31,16,40,11,80,22,14,16,45,18,18,280
