,BAYVIEW,CENTRAL,INGLESIDE,MISSION,NORTHERN,PARK,RICHMOND,SOUTHERN,TARAVAL,TENDERLOIN,ALL
2003-02-28,9,28,17,22,35,10,16,53,26,14,230
2003-03-31,18,39,23,26,52,19,22,59,29,10,297
2003-04-30,20,44,26,30,49,20,22,61,23,22,317
2003-05-31,17,44,19,18,37,17,12,63,37,12,276
2003-06-30,14,36,13,28,33,27,19,67,19,17,273
2003-07-31,10,49,22,29,40,15,17,61,30,18,291
2003-08-31,16,41,18,44,37,17,23,59,22,12,289
2003-09-30,12,41,23,35,36,12,15,63,33,14,284
2003-10-31,14,33,26,25,43,16,13,56,25,6,257
2003-11-30,8,32,11,28,37,13,16,39,25,14,223
2003-12-31,24,37,14,22,47,20,22,52,17,14,269
2004-01-31,16,35,20,22,35,19,22,47,19,11,246
2004-02-29,23,35,18,34,37,15,9,41,23,15,250
2004-03-31,10,36,24,31,39,20,27,59,19,20,285
2004-04-30,11,29,21,24,41,15,16,50,24,17,248
2004-05-31,13,29,20,24,38,15,31,40,19,12,241
2004-06-30,4,43,20,30,18,16,17,39,19,13,219
2004-07-31,9,33,25,35,35,13,25,50,28,12,265
2004-08-31,18,26,20,19,29,21,20,44,24,12,233
2004-09-30,12,26,16,15,20,12,16,46,28,12,203
2004-10-31,17,30,10,18,14,13,9,39,17,7,174
2004-11-30,18,28,16,27,20,16,14,23,19,9,190
2004-12-31,10,23,16,17,23,10,18,49,11,14,191
2005-01-31,15,28,20,22,36,15,14,49,21,11,231
2005-02-28,12,18,19,19,32,17,20,40,21,13,211
2005-03-31,7,22,23,27,34,16,15,37,12,9,202
2005-04-30,13,31,16,28,40,12,10,41,13,4,208
2005-05-31,13,26,11,37,22,13,16,40,16,13,207
2005-06-30,6,32,18,26,24,14,14,43,18,13,208
2005-07-31,12,16,14,18,23,17,11,27,20,20,178
2005-08-31,18,22,14,21,26,15,21,31,27,19,214
2005-09-30,16,20,19,22,31,21,12,42,20,13,216
2005-10-31,11,21,17,14,27,6,14,41,17,14,182
2005-11-30,16,23,15,26,25,12,10,37,17,11,192
2005-12-31,17,33,24,29,31,10,10,55,17,19,245
