,BAYVIEW,CENTRAL,INGLESIDE,MISSION,NORTHERN,PARK,RICHMOND,SOUTHERN,TARAVAL,TENDERLOIN,ALL
2003-07-31,942,1790,768,1392,2464,707,731,3115,916,752,13577
2004-01-31,757,1710,781,1396,2133,840,751,2724,1003,720,12815
2004-07-31,692,1639,700,1390,2149,661,723,3000,931,744,12629
2005-01-31,719,1617,644,1292,1932,647,590,2800,816,737,11794
2005-07-31,771,1778,725,1312,2223,620,623,2866,748,764,12430
2006-01-31,918,1790,734,1288,2619,651,667,2821,900,814,13202
2006-07-31,695,1991,667,1267,2720,673,767,3143,968,743,13634
2007-01-31,626,1876,829,1266,2496,677,596,3184,1017,779,13346
2007-07-31,729,2034,639,1218,2218,557,620,3038,730,800,12583
2008-01-31,765,1865,627,1322,2322,634,840,3144,936,915,13370
2008-07-31,742,1804,719,1336,2082,656,848,2801,1037,760,12785
2009-01-31,693,2079,694,1407,2106,589,686,2909,821,808,12792
2009-07-31,618,1858,674,1202,2120,640,813,2755,891,700,12271
2010-01-31,766,1987,905,1453,1885,641,724,3313,1084,740,13498
2010-07-31,806,1507,741,1386,1523,586,542,3049,685,586,11411
2011-01-31,771,1937,924,1497,1803,532,645,3297,885,737,13028
2011-07-31,633,1808,791,1624,1670,670,643,2931,1055,753,12578
2012-01-31,830,1721,865,1734,1984,750,695,3201,890,749,13419
2012-07-31,897,1980,827,1770,1796,880,880,3417,980,762,14189
2013-01-31,971,2380,1043,1870,2977,975,926,4364,1149,864,17519
2013-07-31,1037,2236,1093,2123,2578,1035,1113,3901,1178,898,17192
2014-01-31,1206,2674,990,2198,3090,986,1174,4886,1095,930,19229
2014-07-31,982,2643,970,1671,2549,1112,1003,4412,1106,905,17353
2015-01-31,1067,3305,1123,1467,3914,1163,1214,5940,1181,1045,21419
2015-07-31,1113,3635,1080,1203,3975,1260,1615,5618,1449,1075,22023
