,BAYVIEW,CENTRAL,INGLESIDE,MISSION,NORTHERN,PARK,RICHMOND,SOUTHERN,TARAVAL,TENDERLOIN,ALL
2003-02-28,69,8,53,34,32,25,16,21,62,9,329
2003-03-31,65,21,57,34,26,31,10,28,59,15,346
2003-04-30,41,13,52,40,23,43,11,29,47,6,305
2003-05-31,55,19,55,31,26,28,16,23,48,10,311
2003-06-30,43,13,48,34,23,26,19,31,36,9,282
2003-07-31,38,17,56,29,33,15,12,27,58,11,296
2003-08-31,53,23,46,45,25,42,8,14,33,10,299
2003-09-30,36,11,44,31,28,31,11,44,41,6,283
2003-10-31,49,11,48,40,32,38,17,26,37,8,306
2003-11-30,37,17,56,38,21,24,19,22,55,9,298
2003-12-31,53,33,39,31,20,21,14,23,42,9,285
2004-01-31,44,25,69,40,26,27,20,20,70,7,348
2004-02-29,45,14,61,38,29,20,23,21,38,18,307
2004-03-31,60,15,66,64,30,26,19,27,55,6,368
2004-04-30,61,17,50,40,32,33,16,40,50,11,350
2004-05-31,45,17,63,38,33,33,14,20,41,9,313
2004-06-30,72,13,39,33,35,35,12,24,37,11,311
2004-07-31,56,20,39,35,25,21,15,32,43,11,297
2004-08-31,42,15,24,29,24,19,13,21,32,8,227
2004-09-30,48,17,37,35,22,42,13,22,35,7,278
2004-10-31,73,18,42,40,32,43,11,39,45,8,351
2004-11-30,34,17,39,36,28,28,17,42,38,12,291
2004-12-31,36,8,37,46,26,12,12,26,19,12,234
2005-01-31,40,10,34,22,32,26,11,31,32,8,246
2005-02-28,41,14,34,38,24,24,11,34,28,8,256
2005-03-31,48,20,36,58,27,16,17,24,43,13,302
2005-04-30,66,16,46,44,21,23,17,22,39,7,301
2005-05-31,95,16,41,44,28,39,10,23,43,13,352
2005-06-30,60,9,32,47,18,21,19,37,38,2,283
2005-07-31,64,13,43,45,33,28,6,26,54,9,321
2005-08-31,52,12,26,23,31,25,9,41,50,6,275
2005-09-30,50,18,33,49,29,30,13,24,55,11,312
2005-10-31,57,18,46,66,27,42,21,26,41,8,352
2005-11-30,62,20,37,58,30,42,17,37,72,14,389
2005-12-31,44,20,36,50,26,34,15,28,51,10,314
2006-01-31,84,12,30,54,29,31,15,36,39,11,341
2006-02-28,62,11,34,37,21,20,2,25,43,9,264
2006-03-31,104,13,32,47,28,24,7,33,50,6,344
2006-04-30,80,14,33,49,37,41,7,24,55,11,351
2006-05-31,62,14,31,47,25,42,13,33,75,9,351
2006-06-30,74,19,35,44,34,75,21,31,54,7,394
2006-07-31,52,10,20,28,31,25,13,19,75,13,286
2006-08-31,37,25,36,43,30,26,9,24,65,13,308
2006-09-30,63,30,37,49,25,29,18,36,71,8,366
2006-10-31,77,17,48,62,23,26,17,39,106,5,420
2006-11-30,113,14,48,54,23,32,19,25,90,7,425
2006-12-31,118,16,46,40,19,30,28,34,62,10,403
2007-01-31,68,24,27,35,28,27,12,30,54,12,317
2007-02-28,70,14,32,36,35,21,9,33,61,10,321
2007-03-31,51,23,50,56,33,24,12,48,107,4,408
2007-04-30,61,4,46,38,25,24,16,31,63,11,319
2007-05-31,101,17,48,57,27,19,6,25,89,9,398
2007-06-30,67,18,28,39,20,23,16,30,55,7,303
2007-07-31,58,18,48,41,12,32,8,30,53,13,313
2007-08-31,49,17,48,40,32,40,16,38,43,10,333
2007-09-30,51,22,31,36,36,32,15,25,74,17,339
2007-10-31,67,15,33,52,21,17,20,26,72,6,329
2007-11-30,54,8,36,36,18,32,8,37,73,11,313
2007-12-31,92,16,41,45,22,32,17,29,30,7,331
2008-01-31,155,19,44,53,27,59,16,20,74,14,481
2008-02-29,93,18,31,42,28,81,28,25,42,9,397
2008-03-31,123,23,46,35,31,47,16,31,50,10,412
2008-04-30,103,24,47,45,21,34,13,30,39,5,361
2008-05-31,99,8,42,54,21,34,13,16,66,10,363
2008-06-30,77,18,43,24,23,25,11,35,61,7,324
2008-07-31,83,18,38,38,19,30,17,25,64,17,349
2008-08-31,52,13,32,35,19,22,16,23,52,12,276
2008-09-30,63,15,32,37,27,26,7,21,70,9,307
2008-10-31,114,14,39,35,28,42,24,32,35,11,374
2008-11-30,112,20,27,43,33,40,22,29,52,13,391
2008-12-31,64,24,25,42,28,32,12,30,35,8,300
2009-01-31,73,18,42,32,23,33,11,31,31,14,308
2009-02-28,69,9,33,29,9,33,12,23,45,6,268
2009-03-31,48,8,30,43,18,25,15,29,52,11,279
2009-04-30,45,11,34,27,20,56,12,49,35,11,300
2009-05-31,63,4,43,33,17,44,19,33,81,14,351
2009-06-30,64,9,27,34,19,29,17,25,56,9,289
2009-07-31,72,20,46,24,18,24,17,23,25,17,286
2009-08-31,41,13,28,25,24,23,8,49,36,13,260
2009-09-30,67,9,41,35,27,27,15,39,51,17,328
2009-10-31,64,15,46,38,24,40,19,39,38,19,342
2009-11-30,119,9,55,37,18,28,10,35,54,5,370
2009-12-31,63,12,44,29,21,29,13,40,18,7,276
2010-01-31,65,20,45,41,35,48,10,43,34,20,361
2010-02-28,72,6,38,41,31,61,9,31,43,7,339
2010-03-31,59,14,47,54,29,56,18,38,48,8,371
2010-04-30,42,8,43,42,21,18,14,57,39,12,296
2010-05-31,91,14,52,42,27,35,20,58,34,23,396
2010-06-30,89,16,33,44,23,27,4,48,46,14,344
2010-07-31,101,21,33,38,33,24,12,55,23,9,349
2010-08-31,78,14,44,43,18,46,9,71,44,28,395
2010-09-30,109,10,46,51,21,41,14,57,44,11,404
2010-10-31,127,26,49,43,36,41,15,71,52,8,468
2010-11-30,102,18,43,41,27,31,17,83,38,18,418
2010-12-31,108,20,40,41,26,39,16,52,20,10,372
2011-01-31,108,11,50,34,17,23,21,76,39,8,387
2011-02-28,85,13,44,25,18,29,13,63,17,10,317
2011-03-31,92,25,30,24,22,36,13,70,23,13,348
2011-04-30,170,22,64,56,24,47,16,83,46,20,548
2011-05-31,109,9,47,49,19,59,19,77,37,12,437
2011-06-30,141,14,46,43,18,27,17,79,36,14,435
2011-07-31,76,17,26,44,39,29,17,67,42,13,370
2011-08-31,84,31,47,55,26,28,24,63,36,16,410
2011-09-30,76,28,40,47,24,56,18,65,36,12,402
2011-10-31,74,17,51,41,26,59,20,77,53,12,430
2011-11-30,56,14,59,33,13,60,19,35,36,10,335
2011-12-31,73,19,39,38,27,28,20,32,51,12,339
2012-01-31,77,19,34,48,28,38,15,54,38,21,372
2012-02-29,102,18,37,44,29,53,14,42,48,8,395
2012-03-31,111,18,48,44,25,36,14,53,25,3,377
2012-04-30,65,22,42,55,25,34,16,35,23,15,332
2012-05-31,84,21,29,60,15,38,12,38,21,11,329
2012-06-30,61,37,35,33,39,48,9,46,23,15,346
2012-07-31,67,27,30,52,38,35,13,35,22,13,332
2012-08-31,47,19,32,48,18,40,31,47,28,15,325
2012-09-30,62,21,47,58,22,28,24,22,35,14,333
2012-10-31,101,19,50,62,37,43,28,65,48,15,468
2012-11-30,82,25,51,36,39,49,20,52,36,20,410
2012-12-31,45,20,57,45,24,48,18,56,29,12,354
2013-01-31,70,27,53,46,29,38,18,66,49,20,416
2013-02-28,42,11,47,57,26,47,14,37,55,7,343
2013-03-31,65,16,60,55,46,39,16,59,48,14,418
2013-04-30,58,21,73,41,21,37,28,46,44,2,371
2013-05-31,50,21,69,42,17,50,10,66,22,18,365
2013-06-30,35,20,54,52,27,51,17,58,21,18,353
2013-07-31,20,16,35,37,26,46,18,60,45,10,313
2013-08-31,51,23,53,51,31,39,26,56,35,18,383
2013-09-30,29,26,36,45,20,34,25,57,56,15,343
2013-10-31,52,18,46,56,34,73,15,71,44,9,418
2013-11-30,45,29,37,66,36,53,16,67,56,18,423
2013-12-31,47,20,34,52,18,45,19,50,33,21,339
2014-01-31,62,27,41,70,34,45,34,44,29,8,394
2014-02-28,43,15,63,55,22,59,15,62,58,9,401
2014-03-31,48,19,52,74,26,49,25,51,28,19,391
2014-04-30,47,21,59,59,28,46,17,56,51,17,401
2014-05-31,57,22,57,100,40,40,19,87,38,27,487
2014-06-30,43,36,49,91,44,44,15,56,42,21,441
2014-07-31,60,31,31,97,21,45,14,50,49,20,418
2014-08-31,38,19,51,109,36,52,21,53,16,12,407
2014-09-30,33,24,47,54,35,42,17,69,31,19,371
2014-10-31,55,42,45,60,35,46,17,75,29,14,418
2014-11-30,40,32,39,41,22,26,16,62,26,13,317
2014-12-31,42,31,32,37,26,33,12,41,26,9,289
2015-01-31,60,24,41,33,16,51,24,67,51,19,386
2015-02-28,70,38,50,41,24,41,17,66,27,9,383
2015-03-31,71,29,51,45,23,46,24,69,40,15,413
2015-04-30,53,27,36,59,35,62,32,80,31,28,443
2015-05-31,42,33,47,49,19,40,32,53,41,9,365
2015-06-30,43,24,36,73,13,56,18,41,64,21,389
2015-07-31,50,25,45,46,29,63,22,70,37,12,399
2015-08-31,38,25,35,46,34,51,18,69,33,15,364
2015-09-30,39,25,57,54,18,75,19,61,25,13,386
2015-10-31,40,19,56,55,30,56,30,67,29,8,390
2015-11-30,30,26,52,31,21,38,22,75,27,17,339
