,BAYVIEW,CENTRAL,INGLESIDE,MISSION,NORTHERN,PARK,RICHMOND,SOUTHERN,TARAVAL,TENDERLOIN,ALL
2003-02-28,75,129,81,149,108,37,66,187,77,62,971
2003-03-31,89,112,111,171,187,57,72,220,102,71,1192
2003-04-30,90,119,91,185,112,53,79,240,107,54,1130
2003-05-31,90,118,111,155,150,47,88,219,115,74,1167
2003-06-30,78,117,86,155,134,75,65,211,94,57,1072
2003-07-31,94,138,100,141,128,41,87,241,78,64,1112
2003-08-31,72,177,101,164,131,47,84,262,85,69,1192
2003-09-30,66,119,94,139,132,60,74,235,64,87,1070
2003-10-31,88,140,108,169,117,53,84,198,78,78,1113
2003-11-30,90,114,87,143,142,75,76,201,72,55,1055
2003-12-31,84,106,81,174,115,70,55,194,89,51,1019
2004-01-31,83,137,93,149,135,61,63,220,87,78,1106
2004-02-29,82,113,103,122,132,38,44,220,88,63,1005
2004-03-31,103,149,110,177,141,57,70,246,77,54,1184
2004-04-30,109,121,106,146,131,47,86,208,98,85,1137
2004-05-31,95,145,93,165,146,59,92,234,92,77,1198
2004-06-30,81,132,94,149,129,65,73,233,79,91,1126
2004-07-31,108,152,92,171,164,59,80,243,89,62,1220
2004-08-31,98,149,93,161,135,69,70,239,85,79,1178
2004-09-30,87,143,88,157,141,64,79,229,77,80,1145
2004-10-31,80,150,101,158,140,65,78,231,103,87,1193
2004-11-30,80,134,91,190,113,63,72,247,98,75,1163
2004-12-31,83,126,90,156,118,53,62,247,119,69,1123
2005-01-31,67,142,96,174,134,71,69,277,88,67,1185
2005-02-28,78,111,89,142,128,46,63,240,79,69,1045
2005-03-31,77,157,101,160,156,63,66,266,99,63,1208
2005-04-30,74,153,93,199,119,58,73,270,112,73,1224
2005-05-31,70,151,115,160,122,79,76,277,139,100,1289
2005-06-30,72,126,106,175,129,55,73,252,89,83,1160
2005-07-31,92,155,87,137,139,53,62,281,96,79,1181
2005-08-31,68,174,104,162,142,49,90,320,84,81,1274
2005-09-30,85,148,79,162,127,57,68,251,87,72,1136
2005-10-31,88,129,110,183,129,70,78,300,88,75,1250
2005-11-30,67,125,78,164,120,57,60,244,91,75,1081
2005-12-31,61,138,68,139,128,51,59,239,76,63,1022
2006-01-31,75,144,80,152,135,48,61,317,83,85,1180
2006-02-28,63,132,76,148,110,75,60,265,77,56,1062
2006-03-31,75,147,81,137,135,55,53,276,97,84,1140
2006-04-30,72,138,73,138,134,58,48,238,84,82,1065
2006-05-31,85,124,83,162,111,77,63,276,86,74,1141
2006-06-30,81,123,82,145,128,78,57,257,99,67,1117
2006-07-31,62,162,84,137,148,55,60,272,88,73,1141
2006-08-31,58,142,83,149,129,43,50,263,78,94,1089
2006-09-30,72,136,98,159,126,64,70,256,89,92,1162
2006-10-31,73,130,94,173,143,69,69,251,56,74,1132
2006-11-30,59,109,86,156,127,49,64,228,60,97,1035
2006-12-31,72,122,101,158,119,63,46,243,90,90,1104
2007-01-31,63,112,102,156,143,46,70,240,91,84,1107
2007-02-28,53,128,93,140,114,51,39,204,58,78,958
2007-03-31,79,145,92,146,122,57,73,241,90,77,1122
2007-04-30,73,126,74,129,119,44,73,259,74,75,1046
2007-05-31,60,155,78,142,122,58,75,290,75,90,1145
2007-06-30,64,130,81,166,125,48,75,251,76,79,1095
2007-07-31,80,133,111,152,113,60,65,294,68,97,1173
2007-08-31,70,128,81,174,113,36,62,272,86,101,1123
2007-09-30,66,106,62,128,114,57,71,220,55,97,976
2007-10-31,56,119,78,132,136,38,61,204,59,96,979
2007-11-30,50,114,77,138,103,44,73,230,51,97,977
2007-12-31,51,123,82,152,118,44,57,187,62,100,976
2008-01-31,68,136,78,143,128,44,60,238,72,90,1057
2008-02-29,52,134,86,153,116,44,58,214,78,87,1022
2008-03-31,61,129,93,142,118,58,84,217,88,81,1071
2008-04-30,54,123,73,138,110,42,73,236,94,73,1016
2008-05-31,67,119,88,153,111,49,61,245,61,71,1025
2008-06-30,71,112,54,122,106,35,50,232,76,98,956
2008-07-31,67,137,86,144,127,60,71,231,91,99,1113
2008-08-31,63,136,68,139,100,49,57,246,79,86,1023
2008-09-30,57,139,83,147,103,46,46,258,72,84,1035
2008-10-31,64,139,71,176,108,53,59,219,82,81,1052
2008-11-30,60,113,66,151,108,50,55,203,75,93,974
2008-12-31,61,129,86,141,98,45,52,194,70,83,959
2009-01-31,66,111,79,149,99,58,62,215,103,79,1021
2009-02-28,60,108,77,123,108,41,66,209,75,80,947
2009-03-31,64,108,88,146,94,63,64,237,89,93,1046
2009-04-30,57,123,107,116,127,59,59,235,78,86,1047
2009-05-31,61,125,75,133,115,60,58,209,75,81,992
2009-06-30,52,113,62,126,112,37,48,197,89,60,896
2009-07-31,71,160,71,146,99,72,59,243,63,84,1068
2009-08-31,58,141,82,133,110,58,81,274,88,97,1122
2009-09-30,74,141,89,123,123,70,64,224,76,95,1079
2009-10-31,71,131,79,149,133,66,76,261,83,116,1165
2009-11-30,74,110,82,129,119,51,53,204,73,88,983
2009-12-31,59,148,65,126,137,51,66,201,74,102,1029
2010-01-31,69,138,86,116,136,61,55,222,75,97,1055
2010-02-28,60,105,84,124,97,49,52,226,50,97,944
2010-03-31,70,104,89,132,108,57,72,224,75,109,1040
2010-04-30,61,108,68,123,100,50,57,216,76,135,994
2010-05-31,58,132,83,170,105,74,82,284,79,129,1196
2010-06-30,65,132,77,164,138,70,68,293,75,117,1199
2010-07-31,57,134,74,166,117,42,67,317,71,135,1180
2010-08-31,77,160,76,158,117,79,69,277,76,136,1225
2010-09-30,87,146,76,175,127,73,69,330,91,131,1305
2010-10-31,72,176,93,161,137,83,76,331,98,142,1369
2010-11-30,88,142,64,160,108,68,54,263,85,128,1160
2010-12-31,60,156,81,144,139,62,62,297,93,117,1211
2011-01-31,80,141,112,174,148,53,68,275,111,118,1280
2011-02-28,64,138,83,144,126,53,60,224,77,97,1066
2011-03-31,72,129,102,155,131,93,76,271,93,125,1247
2011-04-30,74,134,77,175,129,110,68,334,82,121,1304
2011-05-31,84,177,85,200,136,124,80,284,109,129,1408
2011-06-30,69,151,105,203,117,100,50,333,72,108,1308
2011-07-31,82,179,83,212,127,95,76,315,88,117,1374
2011-08-31,82,159,85,183,125,70,64,298,97,132,1295
2011-09-30,92,171,113,212,138,105,58,303,100,114,1406
2011-10-31,95,182,87,181,173,101,84,271,104,114,1392
2011-11-30,79,137,78,186,129,89,67,262,105,92,1224
2011-12-31,81,147,109,176,175,76,81,254,87,96,1282
2012-01-31,83,148,104,172,139,99,60,289,101,102,1297
2012-02-29,90,132,78,175,128,103,69,269,107,104,1255
2012-03-31,108,168,108,183,140,125,79,306,127,129,1473
2012-04-30,107,149,102,186,153,103,98,272,117,103,1390
2012-05-31,114,168,89,200,157,111,99,281,127,113,1459
2012-06-30,104,169,117,182,161,103,97,247,99,110,1389
2012-07-31,92,170,91,179,186,116,88,321,83,107,1433
2012-08-31,87,159,108,176,196,148,104,324,132,127,1561
2012-09-30,90,146,110,187,172,116,76,275,95,87,1354
2012-10-31,85,169,88,193,154,122,106,305,116,139,1477
2012-11-30,112,129,109,195,140,138,102,267,111,129,1432
2012-12-31,113,164,99,186,155,101,95,281,103,119,1416
2013-01-31,148,170,124,223,195,144,120,306,146,149,1725
2013-02-28,117,156,128,226,168,158,112,266,119,126,1576
2013-03-31,151,154,137,260,204,133,75,367,150,161,1792
2013-04-30,107,165,141,248,189,109,101,348,144,128,1680
2013-05-31,134,164,127,245,175,203,120,355,134,156,1813
2013-06-30,134,176,139,242,188,148,128,373,155,152,1835
2013-07-31,117,184,161,269,201,152,134,389,127,167,1901
2013-08-31,124,175,112,233,170,176,139,412,135,177,1853
2013-09-30,116,195,124,233,210,162,110,409,150,131,1840
2013-10-31,140,225,132,228,206,128,103,466,137,197,1962
2013-11-30,113,192,105,222,167,190,101,322,125,157,1694
