,BAYVIEW,CENTRAL,INGLESIDE,MISSION,NORTHERN,PARK,RICHMOND,SOUTHERN,TARAVAL,TENDERLOIN,ALL
2003-07-31,1400,718,909,1768,1045,418,402,2009,632,958,10259
2004-01-31,1538,776,984,1990,1164,409,369,2054,694,1097,11075
2004-07-31,1590,759,1038,1914,1142,398,407,2077,686,1011,11022
2005-01-31,1258,616,918,1499,939,388,357,1663,625,865,9128
2005-07-31,1280,594,918,1530,879,474,365,1557,662,830,9089
2006-01-31,1311,481,972,1484,1066,462,326,1327,610,901,8940
2006-07-31,1154,646,1099,1486,1059,470,308,1261,595,905,8983
2007-01-31,1506,589,1115,1370,1037,621,353,1328,533,913,9365
2007-07-31,1271,603,1196,1372,1028,643,319,1576,525,1106,9639
2008-01-31,1201,645,1190,1476,907,690,415,1535,675,1415,10149
2008-07-31,1379,656,1185,1821,909,587,533,1920,783,1617,11390
2009-01-31,1489,844,1290,2104,1178,572,458,1994,780,1904,12613
2009-07-31,1326,909,1243,1877,1157,600,442,1986,822,1977,12339
2010-01-31,1720,813,1121,1734,1073,624,521,1853,710,1706,11875
2010-07-31,1359,883,1161,1571,987,491,519,1809,620,1306,10706
2011-01-31,1434,707,1176,1510,882,541,552,1788,697,1005,10292
2011-07-31,1328,730,1178,1423,936,495,466,1686,705,960,9907
2012-01-31,1349,766,1077,1282,839,452,511,1684,665,986,9611
2012-07-31,1298,778,1004,1229,864,401,527,1602,674,914,9291
2013-01-31,1270,743,1027,1261,860,486,496,1531,808,771,9253
2013-07-31,1377,655,1118,1389,952,503,510,1608,681,919,9712
2014-01-31,1308,790,1022,1397,946,497,453,1748,727,922,9810
2014-07-31,1465,923,1093,1453,1103,624,551,1771,780,863,10626
2015-01-31,1259,879,1082,1507,1043,580,571,1635,860,720,10136
2015-07-31,1320,832,1114,1499,1006,505,533,1564,953,735,10061
