,BAYVIEW,CENTRAL,INGLESIDE,MISSION,NORTHERN,PARK,RICHMOND,SOUTHERN,TARAVAL,TENDERLOIN,ALL
2003-02-28,26,23,40,26,33,14,10,39,12,23,246
2003-03-31,32,26,32,40,44,15,16,45,22,30,302
2003-04-30,43,32,39,47,27,14,13,25,23,23,286
2003-05-31,38,20,32,51,31,8,5,36,14,18,253
2003-06-30,32,22,41,49,37,14,14,27,15,20,271
2003-07-31,29,20,30,36,39,6,9,30,17,26,242
2003-08-31,28,25,38,39,37,8,14,44,8,27,268
2003-09-30,27,19,47,39,30,14,7,37,22,29,271
2003-10-31,21,20,30,52,31,14,18,40,24,34,284
2003-11-30,26,19,34,41,36,10,6,36,11,22,241
2003-12-31,27,14,40,41,36,11,7,36,29,27,268
2004-01-31,32,18,40,41,36,14,16,30,18,23,268
2004-02-29,17,16,18,33,38,17,16,43,26,18,242
2004-03-31,38,24,54,37,46,11,17,36,17,19,299
2004-04-30,35,25,40,48,43,7,23,39,30,21,311
2004-05-31,42,22,36,44,41,15,12,39,14,32,297
2004-06-30,28,28,20,41,32,15,14,46,22,28,274
2004-07-31,44,24,26,46,41,12,7,43,19,30,292
2004-08-31,32,23,22,45,32,27,11,41,15,34,282
2004-09-30,31,23,26,34,32,9,8,44,22,20,249
2004-10-31,36,18,36,58,43,15,10,51,22,23,312
2004-11-30,35,22,28,44,38,16,11,32,16,33,275
2004-12-31,30,25,37,34,50,9,19,41,15,19,279
2005-01-31,36,22,49,48,33,13,12,47,18,24,302
2005-02-28,20,25,35,34,26,11,11,34,20,26,242
2005-03-31,23,21,21,32,34,6,14,57,19,28,255
2005-04-30,26,20,43,37,38,14,7,53,10,22,270
2005-05-31,36,33,39,32,46,6,10,61,17,23,303
2005-06-30,49,26,28,30,27,13,13,41,17,32,276
2005-07-31,38,25,38,48,40,8,9,46,21,27,300
2005-08-31,51,32,36,60,42,15,13,52,23,36,360
2005-09-30,30,22,49,42,53,19,18,54,19,25,331
2005-10-31,33,28,49,68,29,10,15,50,28,30,340
2005-11-30,34,24,35,41,40,12,16,51,20,37,310
2005-12-31,27,21,21,42,37,14,9,58,16,32,277
2006-01-31,53,30,53,44,37,13,11,58,23,27,349
2006-02-28,45,26,41,39,49,16,6,47,19,29,317
2006-03-31,47,29,43,63,32,9,10,56,28,20,337
2006-04-30,42,35,43,49,47,19,18,42,36,31,362
2006-05-31,49,34,43,52,50,13,6,51,30,30,358
2006-06-30,56,24,54,71,48,25,15,68,27,44,432
2006-07-31,53,40,42,57,42,12,9,71,14,32,372
2006-08-31,51,33,27,64,45,18,11,67,20,36,372
2006-09-30,33,28,42,62,41,15,8,63,20,29,341
2006-10-31,42,17,33,44,34,7,9,66,29,32,313
2006-11-30,41,19,42,46,34,7,14,61,28,24,316
2006-12-31,43,19,22,47,27,11,8,49,16,20,262
2007-01-31,38,17,34,57,48,14,7,43,18,31,307
2007-02-28,23,28,33,50,24,11,9,43,31,26,278
2007-03-31,44,26,34,39,25,13,9,49,19,35,293
2007-04-30,40,19,50,52,24,8,12,59,15,34,313
2007-05-31,45,28,28,40,29,9,4,61,21,37,302
2007-06-30,53,28,38,48,19,13,9,66,29,34,337
2007-07-31,61,32,57,77,36,12,8,52,26,32,393
2007-08-31,59,31,53,61,37,4,14,47,24,43,373
2007-09-30,43,30,55,53,25,12,7,66,19,19,329
2007-10-31,54,31,38,48,39,10,8,48,24,29,329
2007-11-30,54,37,59,47,33,13,16,47,23,44,373
2007-12-31,73,24,65,49,30,10,16,62,35,36,400
2008-01-31,63,30,49,58,37,8,7,59,22,27,360
2008-02-29,33,20,28,44,23,11,20,36,21,39,275
2008-03-31,57,32,54,53,33,7,7,47,28,17,335
2008-04-30,79,27,53,67,35,9,13,55,35,31,404
2008-05-31,55,30,59,67,37,19,8,50,32,29,386
2008-06-30,49,30,41,52,32,9,10,60,21,25,329
2008-07-31,57,35,52,65,52,17,11,54,24,26,393
2008-08-31,59,18,62,62,43,21,9,75,27,43,419
2008-09-30,58,28,41,45,45,13,14,51,16,29,340
2008-10-31,56,38,39,44,38,15,7,57,17,40,351
2008-11-30,53,30,42,57,32,18,8,55,24,26,345
2008-12-31,50,19,44,45,29,13,9,33,20,30,292
2009-01-31,26,32,31,41,46,17,5,63,23,34,318
2009-02-28,22,21,33,58,22,12,5,22,18,21,234
2009-03-31,34,14,31,41,24,13,12,43,23,19,254
2009-04-30,33,31,27,47,43,26,9,41,26,26,309
2009-05-31,54,19,61,55,28,13,16,39,16,21,322
2009-06-30,54,15,49,66,31,15,6,55,15,39,345
2009-07-31,38,23,31,46,30,10,9,54,12,28,281
2009-08-31,34,20,40,40,38,16,9,51,21,37,306
2009-09-30,39,29,36,50,47,9,14,60,18,22,324
2009-10-31,40,24,28,38,64,19,17,54,15,25,324
2009-11-30,26,29,42,42,41,18,10,44,19,20,291
2009-12-31,36,15,41,38,35,15,12,51,17,10,270
2010-01-31,35,19,37,43,29,15,9,55,18,24,284
2010-02-28,42,12,35,31,37,17,8,42,17,26,267
2010-03-31,31,29,23,41,40,15,8,48,20,31,286
2010-04-30,26,37,32,26,39,9,15,35,13,20,252
2010-05-31,29,17,25,49,35,16,9,56,18,27,281
2010-06-30,26,19,17,36,25,3,11,50,14,22,223
2010-07-31,26,30,39,50,32,6,12,49,16,24,284
2010-08-31,43,14,31,57,22,2,4,57,11,27,268
2010-09-30,40,26,25,41,29,14,9,53,9,33,279
2010-10-31,49,23,25,53,31,4,9,68,22,25,309
2010-11-30,32,22,45,39,42,15,15,63,25,30,328
2010-12-31,32,23,40,32,26,5,10,54,23,18,263
2011-01-31,38,34,41,45,35,8,11,49,14,21,296
2011-02-28,22,16,23,45,20,8,8,46,16,23,227
2011-03-31,18,31,31,30,32,6,5,47,19,30,249
2011-04-30,38,30,37,40,32,6,5,40,19,28,275
2011-05-31,38,27,36,34,32,12,4,54,27,31,295
2011-06-30,22,24,39,62,34,12,11,52,13,25,294
2011-07-31,21,29,27,42,22,16,13,56,17,25,268
2011-08-31,27,28,46,68,26,12,7,75,14,30,333
2011-09-30,17,16,19,48,33,6,9,49,20,24,241
2011-10-31,35,32,32,47,38,12,3,69,21,25,314
2011-11-30,24,18,29,48,36,19,8,53,14,20,269
2011-12-31,35,22,34,56,35,18,9,63,16,27,315
2012-01-31,38,41,35,44,36,17,6,54,13,28,312
2012-02-29,33,20,17,31,39,6,6,57,9,25,243
2012-03-31,31,36,33,52,34,14,10,60,22,27,319
2012-04-30,32,36,31,41,29,8,8,43,22,33,283
2012-05-31,22,34,42,47,43,8,12,56,20,38,322
2012-06-30,30,24,33,47,38,15,3,75,10,39,314
2012-07-31,38,21,22,50,39,18,6,50,21,30,295
2012-08-31,32,30,34,61,61,21,13,79,18,37,386
2012-09-30,24,28,37,48,32,11,13,76,14,45,328
2012-10-31,38,42,44,67,37,16,7,78,22,31,382
2012-11-30,47,41,41,39,54,26,14,86,14,32,394
2012-12-31,39,31,52,53,39,22,8,79,16,38,377
2013-01-31,56,35,51,56,43,9,16,66,23,36,391
2013-02-28,24,35,40,76,47,7,11,47,26,31,344
2013-03-31,38,23,41,47,43,10,13,41,18,31,305
2013-04-30,35,22,25,57,34,20,14,62,20,34,323
2013-05-31,37,24,37,63,38,18,11,78,29,36,371
2013-06-30,49,39,27,86,35,20,14,79,17,35,401
2013-07-31,13,34,44,76,48,18,13,88,21,39,394
2013-08-31,29,50,25,74,44,25,18,87,15,37,404
2013-09-30,39,30,34,64,45,14,13,71,24,47,381
2013-10-31,27,31,38,51,44,26,17,67,23,41,365
2013-11-30,24,19,20,42,25,11,11,52,14,37,255
2013-12-31,31,28,29,42,31,9,5,47,10,30,262
2014-01-31,30,31,42,44,25,9,7,54,13,29,284
2014-02-28,22,26,27,36,40,9,9,40,12,29,250
2014-03-31,14,30,29,44,22,11,9,38,15,34,246
2014-04-30,28,32,19,54,23,7,3,33,13,29,241
2014-05-31,37,41,26,48,32,5,10,38,15,33,285
2014-06-30,27,41,40,42,43,6,8,48,8,30,293
2014-07-31,33,29,47,54,26,12,4,60,20,39,324
2014-08-31,20,33,31,47,23,13,10,50,11,47,285
2014-09-30,27,42,35,44,32,6,10,60,18,27,301
2014-10-31,18,46,39,51,34,20,14,54,26,40,342
2014-11-30,22,30,27,40,31,9,12,46,10,37,264
2014-12-31,17,31,37,39,38,7,15,68,20,36,308
2015-01-31,31,52,44,56,32,8,10,68,22,35,358
2015-02-28,33,43,28,39,30,9,6,55,17,46,306
2015-03-31,35,42,47,60,29,15,5,67,10,38,348
