,BAYVIEW,CENTRAL,INGLESIDE,MISSION,NORTHERN,PARK,RICHMOND,SOUTHERN,TARAVAL,TENDERLOIN,ALL
2003-07-31,75,57,82,69,62,22,24,66,66,44,567
2004-01-31,127,56,97,96,74,24,39,54,90,38,695
2004-07-31,124,57,132,99,65,19,29,64,80,29,698
2005-01-31,91,47,96,101,70,23,20,67,94,30,639
2005-07-31,84,40,69,69,58,16,25,52,61,22,496
2006-01-31,79,46,50,69,54,36,20,51,65,40,510
2006-07-31,141,58,78,96,73,39,42,80,76,42,725
2007-01-31,114,52,101,91,71,47,37,66,66,35,680
2007-07-31,133,51,88,108,72,27,31,91,60,48,709
2008-01-31,121,58,110,98,84,38,37,102,78,68,794
2008-07-31,112,63,88,83,93,35,38,75,68,51,706
2009-01-31,132,56,146,112,83,41,45,88,94,75,872
2009-07-31,145,61,125,125,106,40,45,102,70,74,893
2010-01-31,163,77,103,109,94,47,47,110,70,71,891
2010-07-31,148,64,111,119,87,35,47,142,70,89,912
2011-01-31,155,68,108,147,99,40,67,116,76,93,969
2011-07-31,185,72,116,114,82,31,52,139,78,79,948
2012-01-31,165,59,88,127,87,38,36,93,78,82,853
2012-07-31,144,66,118,135,86,40,41,106,108,53,897
2013-01-31,156,61,133,146,93,43,55,126,93,66,972
2013-07-31,172,67,157,187,84,56,49,136,77,70,1055
2014-01-31,176,47,116,134,96,38,32,106,109,71,925
2014-07-31,154,67,112,141,80,46,66,130,94,65,955
2015-01-31,165,66,119,116,89,31,63,126,117,79,971
2015-07-31,149,79,161,146,89,52,51,106,130,75,1038
