,BAYVIEW,CENTRAL,INGLESIDE,MISSION,NORTHERN,PARK,RICHMOND,SOUTHERN,TARAVAL,TENDERLOIN,ALL
2003-04-30,110,106,129,111,120,58,90,138,105,81,1048
2003-07-31,112,104,116,126,126,53,89,127,118,59,1030
2003-10-31,127,106,148,146,105,59,86,146,109,71,1103
2004-01-31,127,99,109,126,141,50,63,130,96,64,1005
2004-04-30,146,87,140,159,133,62,66,117,104,73,1087
2004-07-31,150,87,126,124,117,62,81,167,126,66,1106
2004-10-31,146,121,148,143,126,61,70,154,125,86,1180
2005-01-31,136,109,136,141,128,70,73,177,114,82,1166
2005-04-30,154,82,151,131,117,70,76,174,165,87,1207
2005-07-31,121,95,129,138,101,55,76,179,149,65,1108
2005-10-31,136,93,127,136,128,74,76,165,144,111,1190
2006-01-31,158,104,129,118,133,77,78,182,122,91,1192
2006-04-30,159,101,120,142,129,51,75,209,120,74,1180
2006-07-31,178,96,135,149,134,68,74,176,150,99,1259
2006-10-31,153,105,112,127,135,50,76,167,121,90,1136
2007-01-31,160,111,129,152,126,58,91,188,129,74,1218
2007-04-30,158,100,150,142,114,61,78,167,115,111,1196
2007-07-31,156,116,146,146,108,53,81,179,103,97,1185
2007-10-31,157,104,124,141,131,63,88,195,138,109,1250
2008-01-31,140,94,124,148,117,66,85,163,119,104,1160
2008-04-30,149,113,125,146,104,59,91,180,117,80,1164
2008-07-31,144,110,117,133,134,51,76,193,135,93,1186
2008-10-31,160,123,147,156,129,79,81,154,121,79,1229
2009-01-31,137,103,116,136,113,76,83,153,135,103,1155
2009-04-30,154,95,117,149,119,79,90,144,175,100,1222
2009-07-31,143,88,99,135,115,49,86,160,119,77,1071
2009-10-31,142,98,128,167,145,71,94,165,120,82,1212
2010-01-31,135,80,94,144,130,52,81,159,118,92,1085
2010-04-30,163,116,117,151,114,75,101,205,123,137,1302
2010-07-31,184,156,150,181,116,69,91,314,143,160,1564
2010-10-31,200,152,164,206,156,82,109,350,180,180,1779
2011-01-31,201,140,155,163,172,67,97,275,145,158,1573
2011-04-30,204,155,130,156,158,94,96,243,118,159,1513
2011-07-31,200,130,137,213,182,82,85,300,127,168,1624
2011-10-31,216,144,147,199,199,94,86,247,140,115,1587
2012-01-31,194,149,136,178,162,69,96,221,129,110,1444
2012-04-30,169,188,140,154,162,69,115,262,124,113,1496
2012-07-31,184,157,114,184,167,82,101,246,114,98,1447
2012-10-31,201,151,94,179,161,98,110,268,143,94,1499
2013-01-31,144,131,103,175,151,81,121,225,116,88,1335
2013-04-30,209,138,133,157,149,74,84,269,87,132,1432
2013-07-31,178,119,143,158,159,91,108,265,102,121,1444
2013-10-31,182,123,134,211,143,71,104,277,125,115,1485
2014-01-31,175,114,110,159,133,68,98,244,104,120,1325
2014-04-30,180,102,123,181,142,72,74,191,97,125,1287
2014-07-31,153,124,103,159,141,60,92,215,104,140,1291
2014-10-31,167,150,107,204,146,73,99,232,118,114,1410
2015-01-31,113,130,133,150,130,35,86,210,119,120,1226
2015-04-30,157,127,135,185,111,70,89,236,107,122,1339
2015-07-31,154,141,141,201,150,47,71,221,131,115,1372
2015-10-31,152,132,121,210,137,66,102,251,122,106,1399
