,BAYVIEW,CENTRAL,INGLESIDE,MISSION,NORTHERN,PARK,RICHMOND,SOUTHERN,TARAVAL,TENDERLOIN,ALL
2004-01-31,91,174,80,190,151,60,50,405,64,125,1390
2005-01-31,106,185,64,186,129,46,32,267,65,100,1180
2006-01-31,134,167,55,124,114,50,44,175,64,112,1039
2007-01-31,122,149,58,171,111,56,27,243,69,103,1109
2008-01-31,207,125,86,194,127,51,37,192,70,117,1206
2009-01-31,82,149,58,157,99,37,44,176,67,272,1141
2010-01-31,95,92,65,180,96,54,32,206,54,331,1205
2011-01-31,102,108,58,125,72,57,34,223,42,332,1153
2012-01-31,71,136,58,106,109,35,46,198,60,273,1092
2013-01-31,81,153,51,142,183,57,33,232,66,269,1267
2014-01-31,72,156,64,140,149,57,40,250,79,134,1141
2015-01-31,103,194,52,204,140,48,39,200,71,110,1161
