,BAYVIEW,CENTRAL,INGLESIDE,MISSION,NORTHERN,PARK,RICHMOND,SOUTHERN,TARAVAL,TENDERLOIN,ALL
2003-04-30,174,129,205,215,206,98,142,206,184,84,1643
2003-07-31,202,135,213,187,248,82,137,179,195,63,1641
2003-10-31,213,149,236,180,213,81,114,210,180,65,1641
2004-01-31,182,146,195,173,210,67,107,168,203,51,1502
2004-04-30,189,127,213,199,202,103,126,205,207,62,1633
2004-07-31,233,150,204,211,217,95,110,239,192,51,1702
2004-10-31,195,139,199,220,244,87,111,220,145,56,1616
2005-01-31,182,167,184,177,195,95,127,161,158,51,1497
2005-04-30,187,163,156,201,192,103,137,254,193,42,1628
2005-07-31,251,153,246,216,282,103,143,232,241,56,1923
2005-10-31,218,223,175,205,267,118,130,234,199,61,1830
2006-01-31,222,166,211,192,246,89,129,212,216,57,1740
2006-04-30,215,217,221,221,260,108,146,298,199,79,1964
2006-07-31,231,179,244,205,298,104,129,281,210,59,1940
2006-10-31,247,175,266,244,280,98,152,277,220,64,2023
2007-01-31,165,162,297,211,247,116,113,205,227,65,1808
2007-04-30,212,168,246,227,230,98,147,257,176,64,1825
2007-07-31,245,213,240,217,245,117,142,309,222,75,2025
2007-10-31,227,203,247,202,238,106,116,270,242,82,1933
2008-01-31,228,147,216,219,224,111,158,221,172,81,1777
2008-04-30,266,202,235,208,237,90,139,197,229,60,1863
2008-07-31,251,168,225,209,219,106,127,211,232,55,1803
2008-10-31,259,189,200,232,259,81,125,240,222,65,1872
2009-01-31,198,149,216,215,228,82,129,205,233,63,1718
2009-04-30,222,158,218,222,233,110,117,203,220,61,1764
2009-07-31,260,167,235,206,236,106,112,218,168,58,1766
2009-10-31,268,198,272,271,273,108,154,279,250,79,2152
2010-01-31,286,170,268,246,243,112,145,315,218,65,2068
2010-04-30,259,152,227,232,209,121,134,283,205,62,1884
2010-07-31,291,179,249,251,224,127,120,372,200,71,2084
2010-10-31,306,166,337,237,171,97,149,305,238,53,2059
2011-01-31,232,196,251,217,214,102,126,269,206,55,1868
2011-04-30,224,190,269,250,173,115,163,257,248,68,1957
2011-07-31,238,167,232,215,168,120,123,246,207,54,1770
2011-10-31,179,160,182,199,182,118,125,271,204,62,1682
2012-01-31,231,183,214,223,192,95,140,266,181,51,1776
2012-04-30,238,169,245,269,182,102,126,294,220,60,1905
2012-07-31,239,203,193,238,174,149,139,318,185,57,1895
2012-10-31,221,244,225,313,240,154,128,376,185,71,2157
2013-01-31,199,219,182,225,225,93,130,320,155,64,1812
2013-04-30,231,197,178,246,206,112,132,261,164,66,1793
2013-07-31,191,193,166,208,184,119,144,236,152,81,1674
2013-10-31,179,199,160,225,208,121,124,315,148,96,1775
2014-01-31,185,159,168,292,196,83,111,273,161,62,1690
2014-04-30,177,213,190,178,192,111,117,303,212,75,1768
2014-07-31,192,189,208,163,193,98,104,292,177,100,1716
2014-10-31,212,239,211,182,209,99,113,364,164,80,1873
2015-01-31,213,234,174,178,253,94,102,392,148,60,1848
2015-04-30,182,234,213,168,206,100,112,324,153,83,1775
2015-07-31,237,336,269,203,242,123,104,352,162,78,2106
2015-10-31,266,290,204,175,239,125,114,427,144,74,2058
