,BAYVIEW,CENTRAL,INGLESIDE,MISSION,NORTHERN,PARK,RICHMOND,SOUTHERN,TARAVAL,TENDERLOIN,ALL
2003-02-28,157,90,175,117,121,74,97,104,116,35,1086
2003-03-31,185,108,211,193,191,82,78,155,192,17,1412
2003-04-30,202,119,188,165,202,144,92,117,181,34,1444
2003-05-31,190,81,207,148,162,109,90,139,137,35,1298
2003-06-30,163,67,212,182,169,87,67,125,129,20,1221
2003-07-31,174,104,188,155,169,114,103,123,102,29,1261
2003-08-31,195,123,198,204,160,124,103,123,127,51,1408
2003-09-30,189,95,234,213,135,130,104,110,133,33,1376
2003-10-31,174,100,184,237,143,94,98,92,154,35,1311
2003-11-30,152,84,186,163,150,95,79,109,133,27,1178
2003-12-31,160,112,166,168,145,73,91,112,140,27,1194
2004-01-31,186,95,208,219,157,91,107,98,187,23,1371
2004-02-29,140,96,251,186,158,93,108,123,138,29,1322
2004-03-31,221,126,274,191,127,119,111,100,183,36,1488
2004-04-30,194,143,269,172,147,126,145,112,183,29,1520
2004-05-31,181,143,259,177,167,133,192,119,211,24,1606
2004-06-30,195,123,222,156,147,145,132,130,155,37,1442
2004-07-31,180,143,236,185,141,112,98,124,232,24,1475
2004-08-31,163,115,238,194,173,114,140,179,186,32,1534
2004-09-30,157,100,195,214,177,92,109,115,225,21,1405
2004-10-31,201,99,267,198,177,90,154,91,237,25,1539
2004-11-30,178,85,210,208,159,143,114,170,264,23,1554
2004-12-31,189,130,224,190,174,126,123,191,257,24,1628
2005-01-31,200,106,276,257,181,107,126,141,263,28,1685
2005-02-28,167,110,219,197,144,81,142,108,180,18,1366
2005-03-31,203,111,245,220,173,124,85,120,164,31,1476
2005-04-30,189,129,241,201,203,153,104,110,221,43,1594
2005-05-31,233,162,232,213,191,104,128,150,162,15,1590
2005-06-30,223,113,204,151,181,112,104,125,162,19,1394
2005-07-31,181,107,201,190,189,122,126,122,163,28,1429
2005-08-31,175,131,166,194,215,113,114,119,153,32,1412
2005-09-30,136,123,199,187,222,118,118,122,174,31,1430
2005-10-31,241,121,323,209,194,157,153,128,210,38,1774
2005-11-30,204,124,236,234,221,134,147,129,255,39,1723
2005-12-31,156,88,206,165,173,82,137,117,158,39,1321
2006-01-31,81,42,112,73,75,53,42,45,71,15,609
2006-02-28,76,49,90,70,74,54,50,34,62,13,572
2006-03-31,77,50,94,63,75,56,43,42,57,8,565
2006-04-30,75,46,84,79,78,41,34,50,76,9,572
2006-05-31,59,46,66,82,70,45,44,60,66,9,547
2006-06-30,79,59,116,90,73,32,41,63,84,14,651
2006-07-31,85,47,115,108,61,45,33,66,104,9,673
2006-08-31,87,61,105,109,73,52,46,64,80,10,687
2006-09-30,64,38,86,84,69,51,37,58,74,9,570
2006-10-31,71,53,142,73,60,38,43,52,80,16,628
2006-11-30,80,42,113,89,59,32,35,56,88,10,604
2006-12-31,73,50,100,74,69,43,52,56,85,11,613
2007-01-31,72,50,91,57,44,40,45,51,61,12,523
2007-02-28,55,49,81,65,45,36,24,47,59,5,466
2007-03-31,66,65,86,56,55,38,41,44,53,7,511
2007-04-30,60,49,51,52,40,24,43,49,30,10,408
2007-05-31,56,29,46,43,44,20,30,46,50,12,376
2007-06-30,72,48,80,71,36,23,21,48,81,8,488
2007-07-31,49,72,83,65,62,43,82,78,89,10,633
2007-08-31,79,74,89,99,87,56,52,58,104,9,707
2007-09-30,57,62,86,103,100,61,64,71,77,11,692
2007-10-31,79,52,104,84,74,41,53,48,75,9,619
2007-11-30,59,40,92,72,59,29,81,49,60,3,544
2007-12-31,81,47,77,63,56,18,67,32,48,4,493
2008-01-31,68,40,62,92,65,36,48,46,50,12,519
2008-02-29,57,41,69,69,72,26,39,36,59,7,475
2008-03-31,77,45,72,67,63,32,39,53,68,11,527
2008-04-30,76,24,93,74,61,42,33,50,81,4,538
2008-05-31,60,43,76,88,58,39,40,46,50,10,510
2008-06-30,65,34,54,51,57,29,36,49,49,3,427
2008-07-31,61,30,78,67,53,30,34,37,57,13,460
2008-08-31,77,41,86,78,47,32,38,41,66,4,510
2008-09-30,66,58,102,76,59,48,37,67,60,6,579
2008-10-31,72,47,51,81,96,50,44,67,59,9,576
2008-11-30,64,34,47,54,70,34,44,45,39,13,444
2008-12-31,61,52,50,84,64,42,32,57,36,10,488
2009-01-31,62,57,63,86,66,38,45,70,52,6,545
2009-02-28,38,44,66,59,56,23,26,42,40,9,403
2009-03-31,54,49,63,44,46,27,44,57,69,6,459
2009-04-30,53,27,61,39,57,30,23,55,43,7,395
2009-05-31,55,45,77,46,50,19,17,39,39,15,402
2009-06-30,54,32,79,60,42,26,24,37,32,7,393
2009-07-31,72,37,81,67,43,33,19,42,37,7,438
2009-08-31,77,21,98,60,58,37,32,54,48,4,489
2009-09-30,66,32,77,64,51,29,29,38,42,5,433
2009-10-31,55,28,76,69,44,35,29,39,38,3,416
2009-11-30,41,32,59,94,54,42,17,38,51,8,436
2009-12-31,57,30,65,78,43,26,11,27,32,5,374
2010-01-31,46,26,73,68,38,23,32,19,34,7,366
2010-02-28,54,41,66,55,39,31,13,27,34,3,363
2010-03-31,49,25,55,50,43,41,29,23,28,9,352
2010-04-30,46,22,63,47,44,32,13,25,29,5,326
2010-05-31,50,26,41,33,33,13,17,24,30,4,271
2010-06-30,60,19,47,71,46,20,25,37,34,7,366
2010-07-31,66,23,81,42,39,30,24,25,51,7,388
2010-08-31,64,21,82,41,42,21,27,37,35,11,381
2010-09-30,50,22,102,40,34,26,33,36,50,10,403
2010-10-31,59,25,79,30,30,10,21,43,53,9,359
2010-11-30,60,30,75,45,41,29,22,36,47,13,398
2010-12-31,53,23,66,50,33,27,26,40,45,10,373
2011-01-31,48,49,45,33,40,20,22,24,51,7,339
2011-02-28,54,33,49,33,30,16,18,34,39,6,312
2011-03-31,80,36,89,66,41,26,32,39,54,2,465
2011-04-30,55,36,65,41,30,20,37,29,42,4,359
2011-05-31,61,25,67,46,49,23,17,40,42,5,375
2011-06-30,47,30,58,52,42,26,26,35,24,10,350
2011-07-31,44,28,35,31,36,14,24,23,30,9,274
2011-08-31,32,43,58,50,60,32,32,35,24,4,370
2011-09-30,54,38,55,69,56,50,35,36,49,12,454
2011-10-31,70,21,81,97,63,50,32,46,46,7,513
2011-11-30,58,31,60,87,59,40,28,42,34,12,451
2011-12-31,76,33,92,70,56,66,36,35,28,8,500
2012-01-31,49,27,92,71,50,38,39,26,34,2,428
2012-02-29,54,35,118,78,47,50,40,29,20,3,474
2012-03-31,49,34,103,72,54,34,36,31,33,5,451
2012-04-30,70,37,99,64,44,45,42,40,27,5,473
