,BAYVIEW,CENTRAL,INGLESIDE,MISSION,NORTHERN,PARK,RICHMOND,SOUTHERN,TARAVAL,TENDERLOIN,ALL
2003-04-30,228,165,148,329,221,90,55,534,108,388,2266
2003-07-31,233,134,146,381,282,98,46,454,118,363,2255
2003-10-31,287,174,158,361,298,98,54,556,99,369,2454
2004-01-31,234,138,134,320,246,102,46,418,97,342,2077
2004-04-30,249,148,125,379,289,108,46,474,95,367,2280
2004-07-31,303,165,103,329,309,81,46,404,90,260,2090
2004-10-31,221,130,119,282,207,127,36,359,86,288,1855
2005-01-31,226,123,86,225,195,74,42,341,56,254,1622
2005-04-30,216,108,113,306,194,87,38,366,65,275,1768
2005-07-31,196,104,92,279,187,89,32,327,66,275,1647
2005-10-31,191,100,93,269,195,86,21,343,94,301,1693
2006-01-31,179,84,116,244,205,89,39,322,61,271,1610
2006-04-30,173,103,108,283,233,73,35,352,57,291,1708
2006-07-31,179,104,112,266,212,80,25,313,71,216,1578
2006-10-31,187,106,108,297,226,105,34,301,66,249,1679
2007-01-31,155,101,103,246,193,83,39,342,40,292,1594
2007-04-30,210,123,129,319,253,105,38,336,54,339,1906
2007-07-31,176,85,119,267,148,69,40,310,69,296,1579
2007-10-31,191,129,106,268,168,86,48,360,76,352,1784
2008-01-31,172,116,100,338,160,110,33,347,77,348,1801
2008-04-30,150,102,100,253,162,67,33,327,79,349,1622
2008-07-31,119,110,67,213,111,57,30,320,56,307,1390
2008-10-31,103,78,80,223,127,59,25,306,42,287,1330
2009-01-31,112,81,63,210,138,53,24,267,53,266,1267
2009-04-30,115,73,70,208,155,65,26,321,68,291,1392
2009-07-31,102,97,88,227,164,67,42,305,39,312,1443
2009-10-31,120,94,83,256,159,99,46,362,49,353,1621
2010-01-31,144,70,90,206,139,86,30,327,54,241,1387
2010-04-30,135,86,94,213,166,91,45,366,51,284,1531
2010-07-31,118,94,92,242,153,73,24,372,42,257,1467
2010-10-31,162,116,90,239,152,95,28,459,57,284,1682
2011-01-31,160,89,101,260,136,74,29,416,37,271,1573
2011-04-30,149,94,99,222,177,97,47,386,59,263,1593
2011-07-31,162,106,89,242,157,102,33,354,57,304,1606
2011-10-31,162,110,86,266,155,73,49,358,57,303,1619
2012-01-31,159,120,98,201,171,84,38,345,42,265,1523
2012-04-30,140,130,84,218,123,87,44,324,55,281,1486
2012-07-31,152,107,90,208,172,107,38,351,83,269,1577
2012-10-31,171,106,81,274,152,123,54,326,66,256,1609
2013-01-31,165,91,66,258,169,102,42,405,98,273,1669
2013-04-30,175,99,117,287,222,124,45,417,71,303,1860
2013-07-31,185,129,103,255,149,109,67,492,78,310,1877
2013-10-31,172,122,124,282,199,129,52,473,65,302,1920
2014-01-31,141,132,112,285,141,132,57,380,46,273,1699
2014-04-30,180,124,120,248,181,143,54,348,46,263,1707
2014-07-31,249,134,100,272,182,121,37,318,64,253,1730
2014-10-31,178,159,113,293,163,111,59,341,52,208,1677
2015-01-31,178,127,102,286,159,107,42,314,79,199,1593
2015-04-30,169,177,145,295,146,91,58,273,74,260,1688
2015-07-31,149,150,123,315,156,80,48,291,74,239,1625
2015-10-31,183,143,97,269,191,108,40,396,73,235,1735
