,BAYVIEW,CENTRAL,INGLESIDE,MISSION,NORTHERN,PARK,RICHMOND,SOUTHERN,TARAVAL,TENDERLOIN,ALL
2003-02-28,17,9,17,12,10,6,5,19,11,16,122
2003-03-31,19,6,14,12,12,7,10,10,15,7,112
2003-04-30,17,2,22,10,9,9,10,13,8,9,109
2003-05-31,21,2,12,16,5,5,4,8,5,13,91
2003-06-30,14,4,15,15,5,5,7,8,7,6,86
2003-07-31,18,5,11,8,5,4,5,10,5,4,75
2003-08-31,13,6,27,16,6,3,2,18,6,11,108
2003-09-30,18,5,19,19,11,8,4,14,7,7,112
2003-10-31,17,4,12,23,10,6,9,9,8,25,123
2003-11-30,24,15,16,7,15,5,4,12,8,8,114
2003-12-31,20,6,15,21,10,8,5,10,9,7,111
2004-01-31,31,6,11,10,7,4,9,10,7,11,106
2004-02-29,18,7,10,19,14,7,6,13,2,14,110
2004-03-31,21,6,23,17,14,9,6,11,10,8,125
2004-04-30,28,4,15,15,13,5,6,22,8,7,123
2004-05-31,23,7,15,20,15,3,11,7,8,9,118
2004-06-30,22,5,23,10,13,3,5,7,7,4,99
2004-07-31,20,3,7,17,6,8,2,9,11,11,94
2004-08-31,15,3,11,13,4,6,2,13,7,6,80
2004-09-30,15,7,16,9,16,4,4,8,7,5,91
2004-10-31,24,7,13,16,11,4,2,12,10,9,108
2004-11-30,17,7,11,16,6,6,2,14,3,8,90
2004-12-31,18,9,19,16,8,4,2,12,7,13,108
2005-01-31,18,7,17,17,13,5,0,15,9,11,112
2005-02-28,20,11,13,14,10,4,3,8,5,14,102
2005-03-31,19,7,16,22,7,10,7,11,7,10,116
2005-04-30,24,8,15,20,14,11,2,14,4,10,122
2005-05-31,24,9,17,10,9,1,1,6,8,7,92
2005-06-30,28,7,14,16,13,5,3,14,7,7,114
2005-07-31,20,3,13,15,13,8,1,15,10,9,107
2005-08-31,26,7,11,9,15,8,5,10,12,12,115
2005-09-30,28,6,23,13,14,2,2,12,6,6,112
2005-10-31,28,4,24,26,16,3,3,20,4,18,146
2005-11-30,22,5,17,18,9,6,4,8,15,12,116
2005-12-31,13,2,19,15,9,4,5,6,4,10,87
2006-01-31,17,11,19,18,11,3,4,11,14,10,118
2006-02-28,18,4,19,16,7,5,8,11,10,10,108
2006-03-31,22,7,15,13,10,6,6,10,10,14,113
2006-04-30,20,7,17,18,10,3,8,11,12,8,114
2006-05-31,25,2,16,11,11,6,6,7,14,10,108
2006-06-30,22,5,17,20,9,8,2,13,6,14,116
2006-07-31,24,16,7,18,11,2,2,9,13,14,116
2006-08-31,24,3,14,22,10,7,3,18,9,13,123
2006-09-30,16,9,22,20,9,6,3,7,9,5,106
2006-10-31,18,11,19,8,15,4,3,15,5,1,99
2006-11-30,16,3,13,15,14,6,2,6,4,8,87
2006-12-31,31,6,19,12,15,4,2,9,10,8,116
2007-01-31,12,7,11,27,10,6,4,11,8,7,103
2007-02-28,17,10,10,17,10,5,5,20,4,6,104
2007-03-31,18,7,11,15,16,4,2,17,6,5,101
2007-04-30,14,3,25,15,16,9,1,12,10,8,113
2007-05-31,20,10,19,20,16,2,9,9,9,13,127
2007-06-30,16,6,17,18,8,3,3,11,10,8,100
2007-07-31,25,4,13,9,6,4,4,16,5,6,92
2007-08-31,23,8,23,13,3,7,3,12,5,14,111
2007-09-30,26,7,19,15,11,6,3,11,12,17,127
2007-10-31,21,8,14,22,6,2,5,19,12,9,118
