,ARSON,ASSAULT,BAD CHECKS,BRIBERY,BURGLARY,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG-NARCOTIC,DRUNKENNESS,EMBEZZLEMENT,EXTORTION,FAMILY OFFENSES,FORGERY-COUNTERFEITING,FRAUD,GAMBLING,KIDNAPPING,LARCENY-THEFT,LIQUOR LAWS,LOITERING,MISSING PERSON,NON-CRIMINAL,OTHER OFFENSES,PORNOGRAPHY-OBSCENE MAT,PROSTITUTION,RECOVERED VEHICLE,ROBBERY,RUNAWAY,SECONDARY CODES,"SEX OFFENSES, FORCIBLE","SEX OFFENSES, NON FORCIBLE",STOLEN PROPERTY,SUICIDE,SUSPICIOUS OCC,TREA,TRESPASS,VANDALISM,VEHICLE THEFT,WARRANTS,WEAPON LAWS,ALL,averageListingPrice,alp_allsf
2003-03-31,22,1231,14,2,562,89,20,695,56,19,4,6,188,297,2,32,2427,21,44,346,1192,1711,1,105,0,302,26,107,57,3,76,7,354,0,124,620,1412,712,112,12998,,
2003-04-30,15,1016,14,2,558,67,25,908,56,31,5,12,221,317,0,25,2354,32,16,305,1130,1575,0,190,0,286,37,93,55,3,67,5,314,0,135,540,1444,779,109,12741,,
2003-05-31,29,1117,11,0,584,70,28,862,61,21,4,12,219,276,2,15,2157,29,11,311,1167,1694,0,219,0,253,32,99,64,3,61,8,374,0,124,525,1298,774,91,12605,,
2003-06-30,32,1060,12,1,457,57,12,749,51,14,3,9,182,273,2,13,2265,24,12,282,1072,1703,0,122,0,271,36,71,66,3,72,7,318,0,119,569,1221,688,86,11934,,
2003-07-31,40,1109,9,2,458,76,24,795,60,19,4,6,202,291,4,38,2277,19,13,296,1112,1758,0,128,0,242,33,106,54,0,79,9,338,0,102,547,1261,793,75,12379,,
2003-08-31,18,1139,13,3,488,64,22,868,40,13,3,7,214,289,2,45,2258,32,19,299,1192,1821,0,133,0,268,24,121,45,2,70,8,363,0,94,573,1408,827,108,12893,,
2003-09-30,23,1235,9,3,441,94,24,846,43,21,6,16,166,284,5,36,2177,24,12,283,1070,1857,1,210,0,271,30,126,60,3,74,9,387,0,133,502,1376,829,112,12798,,
2003-10-31,29,1232,14,4,566,77,20,844,63,17,5,5,205,257,1,30,2222,28,17,306,1113,1972,0,177,0,284,37,122,59,1,64,4,353,0,124,566,1311,798,123,13050,,
2003-11-30,24,1097,12,1,513,77,31,713,49,16,2,6,172,223,2,25,2103,16,2,298,1055,1833,0,165,0,241,22,122,56,1,63,12,308,0,111,475,1178,689,114,11827,,
2003-12-31,21,1001,11,4,477,58,26,706,44,20,3,15,195,269,1,24,1935,13,4,285,1019,1489,0,148,0,268,23,104,48,1,53,7,346,0,116,486,1194,546,111,11071,,
2004-01-31,29,1095,13,5,534,66,19,972,52,13,9,11,209,246,4,24,2120,40,7,348,1106,2103,0,198,0,268,30,100,69,4,64,7,351,0,110,541,1371,842,106,13086,,
2004-02-29,20,1093,5,5,478,59,29,944,57,10,3,11,167,250,3,33,1935,28,12,307,1005,1800,0,110,0,242,27,102,61,3,43,6,321,0,109,532,1322,691,110,11933,,
2004-03-31,27,1236,11,4,604,99,17,909,60,17,3,5,200,285,0,33,1971,46,15,368,1184,1789,0,133,0,299,48,130,79,1,57,7,381,0,92,582,1488,838,125,13143,,
2004-04-30,20,1121,7,6,574,60,19,765,50,23,1,7,192,248,1,21,2061,24,24,350,1137,1884,0,133,0,311,54,131,60,4,54,9,385,0,116,519,1520,751,123,12765,,
