,ARSON,ASSAULT,BAD CHECKS,BRIBERY,BURGLARY,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG/NARCOTIC,DRUNKENNESS,EMBEZZLEMENT,EXTORTION,FAMILY OFFENSES,FORGERY/COUNTERFEITING,FRAUD,GAMBLING,KIDNAPPING,LARCENY/THEFT,LIQUOR LAWS,LOITERING,MISSING PERSON,NON-CRIMINAL,OTHER OFFENSES,PORNOGRAPHY/OBSCENE MAT,PROSTITUTION,RECOVERED VEHICLE,ROBBERY,RUNAWAY,SECONDARY CODES,"SEX OFFENSES, FORCIBLE","SEX OFFENSES, NON FORCIBLE",STOLEN PROPERTY,SUICIDE,SUSPICIOUS OCC,TREA,TRESPASS,VANDALISM,VEHICLE THEFT,WARRANTS,WEAPON LAWS,averageListingPrice,alp_allsf
2003-07-31,155,6583,66,9,3070,431,135,4935,347,125,22,59,1181,1684,12,140,13577,151,110,1869,6644,10259,2,931,0,1600,190,567,352,18,409,46,2078,0,702,3284,7722,4521,595,,
2004-01-31,144,6799,72,20,3019,436,142,4949,291,100,28,60,1161,1568,15,184,12815,153,61,1819,6555,11075,1,1031,0,1600,166,695,337,12,388,47,2108,0,688,3143,7838,4531,674,,
2004-07-31,140,6651,39,24,3344,448,126,4924,336,98,21,46,1112,1508,10,160,12629,187,132,1946,6870,11022,0,723,0,1715,249,698,392,16,339,46,2193,0,618,3335,8853,4370,669,,
2005-01-31,132,6133,34,13,3573,385,118,4841,280,112,27,63,1193,1222,13,113,11794,157,145,1627,6987,9128,3,697,0,1699,191,639,300,13,294,55,2346,0,562,3113,9345,3477,589,,
2005-07-31,119,5778,47,16,3651,339,91,4176,302,93,18,25,1111,1214,19,143,12430,134,142,1815,7107,9089,4,556,0,1646,213,496,327,16,273,45,2315,0,503,3551,8849,3415,653,,
2006-01-31,115,5838,58,22,3249,307,120,4291,327,108,21,41,1094,1283,9,139,13202,132,105,1983,6943,8940,1,514,108,1967,155,510,313,9,266,34,2382,0,536,3570,8269,3303,694,,
2006-07-31,113,6460,47,8,3584,246,123,4344,356,106,26,43,1161,1376,19,154,13634,122,52,1990,6666,8983,2,545,492,2178,166,725,302,19,316,49,2439,0,527,3904,3580,3286,675,,
2007-01-31,126,6001,40,31,3394,275,125,4915,334,123,20,38,1176,1182,9,165,13346,139,28,2239,6629,9365,4,802,582,1911,221,680,296,14,250,44,2354,0,582,3831,3625,3273,634,,
2007-07-31,128,6189,34,29,2667,295,121,5119,342,122,23,45,1321,1143,23,171,12583,197,227,2062,6539,9639,2,904,459,1916,148,709,308,13,262,53,2381,0,652,3850,2882,3485,637,,
2008-01-31,111,6363,28,23,2720,281,206,5481,344,137,20,36,1250,1203,13,182,13370,207,229,2126,6088,10149,2,1016,503,2164,132,794,315,20,251,54,2410,0,554,3710,3574,3585,691,,
2008-07-31,125,6321,36,25,2688,356,190,5767,329,106,31,33,1254,1226,10,155,12785,293,182,2206,6203,11390,5,838,410,2122,124,706,353,11,224,47,2350,0,542,3666,2937,3012,680,,
2009-01-31,127,6359,46,25,2998,486,226,5932,388,150,22,37,1158,1358,18,197,12792,207,250,1956,6064,12613,0,873,424,2065,124,872,327,10,308,55,2384,0,599,3590,3142,2597,739,,
2009-07-31,113,6088,30,18,2727,478,297,5894,411,99,71,29,1167,1265,16,231,12271,225,40,1773,5996,12339,0,741,327,1745,183,893,301,3,322,38,2293,0,596,3530,2490,2835,747,839967.798809,839967.798809
2010-01-31,108,6163,30,29,2632,458,280,5890,375,101,21,55,1045,1257,14,246,13498,155,92,1937,6433,11875,0,651,308,1799,169,891,391,17,356,41,2297,0,609,4220,2514,3008,715,819144.109008,819144.109008
2010-07-31,105,6153,27,35,2595,430,219,4812,331,74,34,48,533,1293,5,134,11411,180,89,2095,6553,10706,2,506,298,1593,140,912,368,16,330,40,2866,0,596,3968,2066,2998,672,808816.724307,808816.724307
2011-01-31,110,6283,27,29,2392,394,244,4251,373,78,22,44,459,1368,3,221,13028,138,82,2444,7550,10292,2,811,321,1743,142,969,346,11,363,37,3352,2,557,3927,2253,3255,633,794211.178118,794211.178118
2011-07-31,100,5989,24,22,2240,400,242,3647,294,85,23,26,423,1355,11,202,12578,162,56,2455,7707,9907,2,693,319,1608,158,948,364,12,357,42,3137,0,513,3727,2135,3199,640,810203.585837,810203.585837
2012-01-31,107,6301,20,30,2776,355,232,3162,363,91,22,34,387,1395,5,211,13419,106,62,2288,7896,9611,1,322,371,1784,171,853,401,20,426,39,3031,0,579,3458,2716,3142,712,841625.132546,841625.132546
2012-07-31,109,5985,28,30,3017,365,205,3277,294,86,18,31,432,1312,12,145,14189,121,87,2111,8399,9291,1,337,321,1776,169,897,369,16,430,39,2943,0,671,3800,2950,3063,707,902989.955171,902989.955171
2013-01-31,136,6129,23,24,3264,330,205,3160,345,78,16,50,545,1393,9,132,17519,97,56,2306,8965,9253,1,347,428,2258,153,972,408,9,530,46,2834,2,596,3969,3328,3278,755,922885.271222,922885.271222
2013-07-31,120,6330,14,38,3025,253,237,3546,472,85,12,35,465,1297,9,245,17192,108,28,2163,10597,9712,3,410,350,2138,108,1055,391,6,562,37,2876,2,628,3467,2878,3737,783,964309.862443,964309.862443
2014-01-31,123,6270,8,31,3282,193,199,3184,494,89,17,44,500,1515,10,308,19229,117,14,2300,10477,9810,2,287,325,1951,98,925,390,13,646,34,2810,2,513,3465,3357,3619,774,1108954.93302,1108954.93302
2014-07-31,113,6126,19,30,2981,173,185,2966,320,67,18,47,341,1426,1,262,17353,98,9,2539,9624,10626,1,241,0,1639,136,955,420,11,547,32,2578,1,562,3484,3594,3437,813,1150099.63327,1150099.63327
2015-01-31,149,6369,16,27,2965,182,207,2286,289,77,15,35,379,1538,8,248,21419,80,26,2188,9730,10136,1,183,0,1858,82,971,420,6,535,39,2636,0,599,3721,3599,3270,772,1241892.54603,1241892.54603
2015-07-31,166,6600,14,34,3031,231,208,1918,280,90,12,34,371,1691,15,193,22023,79,16,2392,9653,10061,3,165,0,1874,87,1038,446,13,481,36,2711,1,635,3881,4073,3313,812,1340804.24653,1340804.24653
