,ARSON,ASSAULT,BAD CHECKS,BRIBERY,BURGLARY,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG-NARCOTIC,DRUNKENNESS,EMBEZZLEMENT,EXTORTION,FAMILY OFFENSES,FORGERY-COUNTERFEITING,FRAUD,GAMBLING,KIDNAPPING,LARCENY-THEFT,LIQUOR LAWS,LOITERING,MISSING PERSON,NON-CRIMINAL,OTHER OFFENSES,PORNOGRAPHY-OBSCENE MAT,PROSTITUTION,RECOVERED VEHICLE,ROBBERY,RUNAWAY,SECONDARY CODES,"SEX OFFENSES, FORCIBLE","SEX OFFENSES, NON FORCIBLE",STOLEN PROPERTY,SUICIDE,SUSPICIOUS OCC,TREA,TRESPASS,VANDALISM,VEHICLE THEFT,WARRANTS,WEAPON LAWS,ALL,averageListingPrice,alp_allsf
2003-03-31,5,144,0,0,56,7,1,46,2,0,0,1,10,18,1,7,179,3,0,65,89,212,0,0,0,32,1,11,7,1,2,1,41,0,8,51,185,69,19,1274,,
2003-04-30,3,137,0,1,57,5,2,74,2,5,0,2,16,20,0,4,160,6,2,41,90,221,0,2,0,43,3,8,2,1,2,2,24,0,5,60,202,69,17,1288,,
2003-05-31,9,156,1,0,72,5,4,92,1,4,0,3,11,17,0,0,142,4,1,55,90,233,0,0,0,38,4,8,8,0,2,0,35,0,9,70,190,73,21,1358,,
2003-06-30,15,141,2,0,68,17,0,75,3,2,0,1,11,14,0,1,181,0,1,43,78,271,0,1,0,32,1,14,8,1,6,1,40,0,7,57,163,77,14,1346,,
2003-07-31,13,153,0,0,49,2,3,60,4,1,1,0,12,10,1,5,139,1,2,38,94,271,0,1,0,29,2,24,7,0,0,1,37,0,9,75,174,83,18,1319,,
2003-08-31,6,129,1,1,70,2,3,61,4,2,0,2,11,16,0,4,173,3,0,53,72,290,0,0,0,28,1,31,2,0,3,0,40,0,8,71,195,86,13,1381,,
2003-09-30,8,168,2,1,47,7,2,48,2,0,0,4,8,12,1,7,135,1,1,36,66,248,0,2,0,27,4,23,8,1,3,1,49,0,1,77,189,86,18,1293,,
2003-10-31,12,143,2,0,55,4,2,101,1,3,0,2,13,14,0,4,128,2,1,49,88,243,0,1,0,21,3,19,3,0,4,0,38,0,10,65,174,115,17,1337,,
2003-11-30,7,139,1,1,48,2,4,88,2,2,0,0,6,8,0,6,115,1,0,37,90,241,0,3,0,26,3,17,8,1,6,1,34,0,6,61,152,94,24,1234,,
2003-12-31,6,142,0,0,49,9,1,65,3,4,0,1,15,24,0,2,94,0,0,53,84,195,0,1,0,27,3,14,3,0,2,0,43,0,3,58,160,53,20,1134,,
2004-01-31,4,171,1,0,44,5,1,94,3,1,1,2,23,16,1,4,112,1,0,44,83,321,0,2,0,32,2,23,4,0,2,0,50,0,16,63,186,87,31,1430,,
2004-02-29,12,131,0,2,47,0,2,127,2,0,1,2,13,23,0,6,109,2,3,45,82,283,0,0,0,17,1,20,7,0,2,1,37,0,7,61,140,86,18,1289,,
2004-03-31,3,176,0,3,69,3,1,94,4,2,0,1,11,10,0,5,111,6,2,60,103,215,0,2,0,38,0,26,7,0,4,1,49,0,5,65,221,77,21,1395,,
