,ARSON,ASSAULT,BAD CHECKS,BRIBERY,BURGLARY,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG/NARCOTIC,DRUNKENNESS,EMBEZZLEMENT,EXTORTION,FAMILY OFFENSES,FORGERY/COUNTERFEITING,FRAUD,GAMBLING,KIDNAPPING,LARCENY/THEFT,LIQUOR LAWS,LOITERING,MISSING PERSON,NON-CRIMINAL,OTHER OFFENSES,PORNOGRAPHY/OBSCENE MAT,PROSTITUTION,RECOVERED VEHICLE,ROBBERY,RUNAWAY,SECONDARY CODES,"SEX OFFENSES, FORCIBLE","SEX OFFENSES, NON FORCIBLE",STOLEN PROPERTY,SUICIDE,SUSPICIOUS OCC,TREA,TRESPASS,VANDALISM,VEHICLE THEFT,WARRANTS,WEAPON LAWS,averageListingPrice,alp_allsf
2003-04-30,14,434,1,2,169,22,4,201,8,6,0,6,35,47,1,13,480,12,2,175,254,625,0,2,0,101,6,29,9,3,11,3,110,0,22,174,544,228,53,,
2003-07-31,37,450,3,0,189,24,7,227,8,7,1,4,34,41,1,6,462,5,4,136,262,775,0,2,0,99,7,46,23,1,8,2,112,0,25,202,527,233,53,,
2003-10-31,26,440,5,2,172,13,7,210,7,5,0,8,32,42,1,15,436,6,2,138,226,781,0,3,0,76,8,73,13,1,10,1,127,0,19,213,558,287,48,,
2004-01-31,17,452,2,1,141,16,6,247,8,7,1,3,44,48,1,12,321,2,0,134,257,757,0,6,0,85,8,54,15,1,10,1,127,0,25,182,498,234,75,,
2004-04-30,23,465,2,6,171,3,3,294,11,7,1,6,41,44,0,17,362,8,10,166,294,809,0,2,0,90,3,76,23,0,14,3,146,0,25,189,555,249,67,,
2004-07-31,20,407,1,3,155,9,5,333,10,5,1,6,42,26,0,12,330,9,8,173,284,781,0,1,0,114,11,48,22,2,12,0,150,0,34,233,556,303,65,,
2004-10-31,21,415,2,2,152,5,5,259,8,5,1,10,48,47,0,9,376,4,3,163,265,650,0,5,0,99,7,47,13,1,17,0,146,0,24,195,521,221,54,,
2005-01-31,21,355,1,1,217,11,1,196,6,4,1,5,41,43,1,10,343,3,2,110,230,608,0,8,0,101,8,44,11,1,14,1,136,0,23,182,567,226,53,,
2005-04-30,21,365,1,1,184,8,0,194,6,6,1,4,39,32,1,10,321,1,1,155,229,659,0,4,0,69,15,40,20,1,14,1,154,0,26,187,559,216,63,,
2005-07-31,21,357,3,0,185,9,0,184,12,1,2,3,42,31,0,15,450,1,4,219,234,621,0,2,0,123,14,44,19,0,11,3,121,0,43,251,637,196,72,,
