,ARSON,ASSAULT,BAD CHECKS,BRIBERY,BURGLARY,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG/NARCOTIC,DRUNKENNESS,EMBEZZLEMENT,EXTORTION,FAMILY OFFENSES,FORGERY/COUNTERFEITING,FRAUD,GAMBLING,KIDNAPPING,LARCENY/THEFT,LIQUOR LAWS,LOITERING,MISSING PERSON,NON-CRIMINAL,OTHER OFFENSES,PORNOGRAPHY/OBSCENE MAT,PROSTITUTION,RECOVERED VEHICLE,ROBBERY,RUNAWAY,SECONDARY CODES,"SEX OFFENSES, FORCIBLE","SEX OFFENSES, NON FORCIBLE",STOLEN PROPERTY,SUICIDE,SUSPICIOUS OCC,TREA,TRESPASS,VANDALISM,VEHICLE THEFT,WARRANTS,WEAPON LAWS,averageListingPrice,alp_allsf
2004-01-31,6,1107,17,1,787,114,20,331,123,27,16,8,267,459,2,17,3500,38,19,211,1526,1494,1,97,0,258,3,113,56,0,76,11,415,0,174,559,1178,611,70,,
2005-01-31,15,1159,11,1,882,148,15,310,103,35,9,3,271,366,6,19,3256,29,10,181,1656,1375,0,137,0,272,5,104,58,1,50,10,404,0,185,583,1409,566,72,,
2006-01-31,10,1039,11,1,940,75,8,173,85,23,9,6,210,293,7,14,3568,18,26,188,1711,1075,0,164,8,307,7,86,54,0,58,6,374,0,167,705,1361,396,80,,
2007-01-31,11,1097,17,0,855,67,21,244,89,32,7,3,236,321,9,21,3867,16,5,207,1577,1235,1,166,61,321,11,110,56,1,41,10,413,0,149,733,591,414,80,,
2008-01-31,20,1122,9,4,642,89,22,300,83,43,8,4,263,288,8,32,3899,20,36,191,1543,1248,1,418,47,344,5,109,58,1,35,10,414,0,125,731,627,453,81,,
2009-01-31,22,1235,15,4,655,75,25,406,99,61,6,2,248,363,4,30,3883,21,13,213,1521,1500,0,275,61,339,4,119,48,0,52,7,449,0,149,708,506,371,77,,
2010-01-31,15,1147,6,3,620,61,76,384,85,24,34,4,209,295,11,43,3845,22,8,139,1546,1722,0,110,41,259,4,138,56,0,63,11,361,0,92,693,403,334,69,,
2011-01-31,12,1117,11,5,598,65,28,273,72,24,12,4,93,332,1,34,3444,32,3,178,1636,1590,0,45,41,286,6,132,62,1,66,6,564,1,108,693,326,385,54,,
2012-01-31,15,1128,6,3,544,64,36,184,70,33,6,3,122,334,0,40,3529,13,5,228,1852,1496,1,25,47,314,7,131,69,2,80,11,578,0,136,700,381,430,81,,
2013-01-31,15,1115,8,3,676,51,26,217,75,23,7,3,126,376,2,22,4360,5,9,274,1893,1521,0,12,54,378,5,127,56,0,114,12,627,1,153,835,497,434,86,,
2014-01-31,22,1100,2,5,754,54,26,253,68,26,4,5,108,464,4,55,4910,16,2,248,2108,1445,0,43,44,366,8,114,75,1,160,5,494,0,156,748,445,482,76,,
2015-01-31,21,1209,6,4,900,36,23,334,83,26,5,3,91,530,2,42,5948,9,4,316,2362,1802,0,160,0,433,5,133,91,2,194,10,506,0,194,875,563,544,95,,
