,ARSON,ASSAULT,BAD CHECKS,BRIBERY,BURGLARY,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG/NARCOTIC,DRUNKENNESS,EMBEZZLEMENT,EXTORTION,FAMILY OFFENSES,FORGERY/COUNTERFEITING,FRAUD,GAMBLING,KIDNAPPING,LARCENY/THEFT,LIQUOR LAWS,LOITERING,MISSING PERSON,NON-CRIMINAL,OTHER OFFENSES,PORNOGRAPHY/OBSCENE MAT,PROSTITUTION,RECOVERED VEHICLE,ROBBERY,RUNAWAY,SECONDARY CODES,"SEX OFFENSES, FORCIBLE","SEX OFFENSES, NON FORCIBLE",STOLEN PROPERTY,SUICIDE,SUSPICIOUS OCC,TREA,TRESPASS,VANDALISM,VEHICLE THEFT,WARRANTS,WEAPON LAWS,averageListingPrice
2003-07-31,13,847,6,1,385,92,17,1053,41,7,1,6,171,153,0,17,1392,32,16,202,956,1768,0,301,0,249,19,69,55,1,51,4,237,0,98,402,960,710,73,
2004-01-31,11,855,5,4,294,95,22,1014,37,9,0,10,122,176,0,23,1396,29,6,225,938,1990,1,360,0,253,11,96,59,3,51,5,272,0,92,353,1204,681,96,
2004-07-31,7,925,6,4,337,153,17,1032,61,16,1,6,128,178,0,15,1390,42,28,248,930,1914,0,247,0,249,16,99,50,3,46,3,283,0,95,410,1067,708,98,
2005-01-31,14,836,5,2,375,93,18,833,48,8,2,9,144,118,1,17,1292,44,44,208,996,1499,1,289,0,263,7,101,45,3,29,11,284,0,91,397,1261,507,87,
2005-07-31,9,806,6,3,412,103,22,856,65,9,1,6,114,155,5,14,1312,36,37,276,973,1530,1,186,0,213,13,69,46,5,38,1,269,0,59,417,1172,585,97,
2006-01-31,14,859,5,5,336,62,14,752,42,8,5,6,123,137,2,16,1288,49,17,300,962,1484,1,122,16,297,17,69,49,2,30,5,254,0,65,397,1062,513,99,
2006-07-31,10,910,7,2,373,76,12,972,46,11,2,16,123,152,1,17,1267,38,25,252,867,1486,1,318,49,331,12,96,46,4,32,5,291,0,73,426,492,549,96,
2007-01-31,10,833,3,4,375,93,20,956,64,15,3,6,144,168,1,13,1266,43,9,283,951,1370,1,342,63,320,12,91,46,2,33,4,279,0,98,455,486,543,104,
2007-07-31,11,877,1,3,256,94,13,737,85,8,0,13,152,133,1,22,1218,82,28,267,875,1372,0,413,50,306,8,108,43,2,36,11,288,0,102,444,352,586,94,
2008-01-31,7,873,4,5,290,118,25,825,85,23,1,10,136,146,0,20,1322,74,23,262,867,1476,0,303,63,316,5,98,39,3,20,7,289,0,92,421,513,606,99,
2008-07-31,6,992,5,8,259,80,19,809,68,15,3,10,128,134,1,27,1336,98,10,238,852,1821,0,293,40,348,7,83,65,2,23,7,279,0,72,417,416,466,92,
2009-01-31,12,977,1,3,308,109,32,866,89,9,4,10,129,152,4,27,1407,63,20,224,903,2104,0,515,41,294,13,112,36,1,38,8,292,0,85,447,459,433,112,
2009-07-31,3,891,1,4,242,135,38,709,71,9,2,7,159,146,8,30,1202,71,10,190,790,1877,0,548,39,313,45,125,41,0,40,0,284,0,89,428,315,435,103,705870.231092
2010-01-31,9,860,5,2,223,121,37,783,33,12,3,15,119,135,2,42,1453,31,26,205,776,1734,0,349,42,251,39,109,68,5,43,9,311,0,91,517,433,462,82,694230.857575
2010-07-31,10,816,0,2,202,119,45,711,51,10,2,8,78,135,0,17,1386,46,22,261,879,1571,0,308,29,233,30,119,44,1,47,7,332,0,53,483,298,455,93,708452.438919
2011-01-31,10,861,4,4,185,108,47,636,59,9,0,14,55,133,1,26,1497,29,10,253,972,1510,0,506,32,267,30,147,52,0,52,3,369,0,72,454,239,499,103,689546.388645
2011-07-31,11,829,3,6,179,94,40,465,71,11,2,9,57,146,0,21,1624,31,9,241,1089,1423,0,396,25,253,33,114,63,2,52,9,369,0,41,465,269,464,97,687675.135302
2012-01-31,15,846,3,8,241,60,44,472,43,7,2,11,45,159,1,28,1734,17,4,262,1110,1282,0,182,45,311,53,127,59,4,69,5,377,0,65,422,444,467,102,626036.018086
2012-07-31,7,914,0,8,302,48,33,422,46,13,5,12,55,159,0,25,1770,22,3,288,1105,1229,0,151,29,268,39,135,66,2,63,5,338,0,75,507,412,426,110,693737.31424
2013-01-31,16,992,2,5,326,59,38,427,57,4,1,23,65,180,3,17,1870,25,4,295,1160,1261,0,197,34,324,47,146,68,0,82,12,354,0,67,538,433,532,122,684267.453816
2013-07-31,12,1067,1,9,287,78,42,557,91,9,1,17,74,166,3,37,2123,24,1,284,1490,1389,0,284,40,405,33,187,44,2,75,8,315,0,67,454,363,542,156,791605.803724
2014-01-31,19,980,0,5,340,61,36,491,72,11,2,15,69,212,1,45,2198,15,2,340,1342,1397,0,186,31,317,14,134,66,5,95,6,370,0,73,517,444,567,145,976444.626405
2014-07-31,16,927,2,7,340,64,34,424,77,5,4,22,48,220,0,31,1671,8,1,476,1257,1453,0,86,0,278,38,141,70,0,83,4,340,1,79,341,485,520,127,1058144.36246
2015-01-31,26,979,3,8,336,48,33,371,73,4,1,13,53,198,2,37,1467,16,10,334,1285,1507,0,41,0,277,10,116,100,1,88,7,354,0,125,360,541,579,160,1021490.16615
2015-07-31,24,1044,2,8,336,54,37,304,80,7,1,9,54,194,3,32,1203,16,7,313,1207,1499,0,21,0,269,6,146,88,3,61,4,386,0,105,371,577,610,158,1446048.94542
