,ARSON,ASSAULT,BAD CHECKS,BRIBERY,BURGLARY,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG/NARCOTIC,DRUNKENNESS,EMBEZZLEMENT,EXTORTION,FAMILY OFFENSES,FORGERY/COUNTERFEITING,FRAUD,GAMBLING,KIDNAPPING,LARCENY/THEFT,LIQUOR LAWS,LOITERING,MISSING PERSON,NON-CRIMINAL,OTHER OFFENSES,PORNOGRAPHY/OBSCENE MAT,PROSTITUTION,RECOVERED VEHICLE,ROBBERY,RUNAWAY,SECONDARY CODES,"SEX OFFENSES, FORCIBLE","SEX OFFENSES, NON FORCIBLE",STOLEN PROPERTY,SUICIDE,SUSPICIOUS OCC,TREA,TRESPASS,VANDALISM,VEHICLE THEFT,WARRANTS,WEAPON LAWS,averageListingPrice,alp_allsf
2003-04-30,6,434,4,1,202,47,8,525,24,4,0,3,94,78,0,7,792,19,7,108,505,881,0,123,0,113,14,39,24,1,24,3,111,0,52,215,475,329,34,,
2003-07-31,7,413,2,0,183,45,9,528,17,3,1,3,77,75,0,10,600,13,9,94,451,887,0,178,0,136,5,30,31,0,27,1,126,0,46,187,485,381,39,,
2003-10-31,7,469,2,1,150,54,9,536,23,8,0,4,71,104,0,15,704,17,6,116,472,955,1,222,0,130,7,54,25,2,24,4,146,0,35,180,654,361,58,,
2004-01-31,4,386,3,3,144,41,13,478,14,1,0,6,51,72,0,8,692,12,0,109,466,1035,0,138,0,123,4,42,34,1,27,1,126,0,57,173,550,320,38,,
2004-04-30,5,480,3,2,156,76,8,546,34,7,0,3,62,89,0,6,648,19,13,142,445,917,0,95,0,118,3,49,28,1,18,2,159,0,49,199,549,379,51,,
2004-07-31,2,445,3,2,181,77,9,486,27,9,1,3,66,89,0,9,742,23,15,106,485,997,0,152,0,131,13,50,22,2,28,1,124,0,46,211,518,329,47,,
2004-10-31,8,454,2,1,210,46,8,471,26,2,2,7,75,52,1,8,661,27,8,104,476,845,1,124,0,137,5,50,25,3,12,3,143,0,45,220,606,282,38,,
2005-01-31,6,382,3,1,165,47,10,362,22,6,0,2,69,66,0,9,631,17,36,104,520,654,0,165,0,126,2,51,20,0,17,8,141,0,46,177,655,225,49,,
2005-04-30,5,396,1,0,199,60,16,509,37,5,0,4,58,74,3,3,593,19,23,140,501,811,1,121,0,103,6,37,19,3,19,0,131,0,28,201,618,306,56,,
2005-07-31,4,410,5,3,213,43,6,347,28,4,1,2,56,81,2,11,719,17,14,136,472,719,0,65,0,110,7,32,27,2,19,1,138,0,31,216,554,279,41,,
2005-10-31,8,437,1,4,213,34,9,378,22,2,4,4,46,57,2,11,694,24,14,138,507,769,1,68,0,170,13,37,27,1,16,2,136,0,32,205,590,269,48,,
2006-01-31,6,422,4,1,123,28,5,374,20,6,1,2,77,80,0,5,594,25,3,162,455,715,0,54,16,127,4,32,22,1,14,3,118,0,33,192,472,244,51,,
2006-04-30,3,429,3,0,184,46,6,544,23,6,1,7,56,72,0,6,621,6,6,133,423,790,0,166,20,151,6,43,21,3,11,0,142,0,37,221,212,283,47,,
2006-07-31,7,481,4,2,189,30,6,428,23,5,1,9,67,80,1,11,646,32,19,119,444,696,1,152,29,180,6,53,25,1,21,5,149,0,36,205,280,266,49,,
2006-10-31,6,487,1,2,181,50,12,541,32,7,2,3,57,94,1,8,724,21,8,154,481,689,1,141,30,170,4,59,25,1,20,2,127,0,50,244,266,297,50,,
2007-01-31,4,346,2,2,194,43,8,415,32,8,1,3,87,74,0,5,542,22,1,129,470,681,0,201,33,150,8,32,21,1,13,2,152,0,48,211,220,246,54,,
2007-04-30,4,423,0,2,122,50,8,449,43,4,0,4,74,67,1,11,556,39,4,130,415,713,0,223,24,141,2,57,21,0,19,8,142,0,44,227,173,319,47,,
2007-07-31,7,454,1,1,134,44,5,288,42,4,0,9,78,66,0,11,662,43,24,137,460,659,0,190,26,165,6,51,22,2,17,3,146,0,58,217,179,267,47,,
2007-10-31,5,445,4,4,129,68,10,380,43,15,1,4,68,79,0,10,683,38,17,128,434,695,0,153,35,162,1,48,16,1,12,5,141,0,40,202,286,268,50,,
2008-01-31,2,428,0,1,161,50,15,445,42,8,0,6,68,67,0,10,639,36,6,134,433,781,0,150,28,154,4,50,23,2,8,2,148,0,52,219,227,338,49,,
2008-04-30,4,479,2,2,109,31,8,457,33,10,2,6,73,71,1,11,668,53,10,122,433,904,0,99,21,164,0,36,40,1,13,3,146,0,32,208,210,253,45,,
2008-07-31,2,513,3,6,150,49,11,352,35,5,1,4,55,63,0,16,668,45,0,116,419,917,0,194,19,184,7,47,25,1,10,4,133,0,40,209,206,213,47,,
2008-10-31,6,516,1,3,177,40,16,460,48,4,2,4,57,83,4,15,746,32,11,107,462,1082,0,191,21,151,10,59,18,1,17,3,156,0,38,232,235,223,68,,
2009-01-31,6,461,0,0,131,69,16,406,41,5,2,6,72,69,0,12,661,31,9,117,441,1022,0,324,20,143,3,53,18,0,21,5,136,0,47,215,224,210,44,,
2009-04-30,2,452,0,2,116,69,23,403,37,6,0,4,83,71,4,15,579,32,7,99,385,995,0,342,20,146,23,71,19,0,22,0,149,0,44,222,142,208,63,,
2009-07-31,1,439,1,2,126,66,15,306,34,3,2,3,76,75,4,15,623,39,3,91,405,882,0,206,19,167,22,54,22,0,18,0,135,0,45,206,173,227,40,705870.231092,839967.798809
2009-10-31,3,451,3,0,101,50,20,388,16,6,1,11,74,75,0,20,713,21,6,98,405,895,0,148,17,128,13,64,28,1,19,6,167,0,53,271,193,256,38,677988.649532,838433.89443
2010-01-31,6,409,2,2,122,71,17,395,17,6,2,4,45,60,2,22,740,10,20,107,371,839,0,201,25,123,26,45,40,4,24,3,144,0,38,246,240,206,44,711722.466236,798370.493938
2010-04-30,5,371,0,0,97,68,23,335,20,6,2,4,42,68,0,6,701,24,19,137,379,802,0,154,13,98,11,54,17,0,22,4,151,0,34,232,152,213,34,685475.872619,816067.224205
2010-07-31,5,445,0,2,105,51,22,376,31,4,0,4,36,67,0,11,685,22,3,124,500,769,0,154,16,135,19,65,27,1,25,3,181,0,19,251,146,242,59,728146.638605,802602.010108
2010-10-31,4,457,2,3,89,69,17,344,23,5,0,10,23,63,0,14,745,13,2,137,494,711,0,213,7,151,13,74,26,0,28,2,206,0,42,237,111,239,54,690913.333333,793002.571043
2011-01-31,6,404,2,1,96,39,30,292,36,4,0,4,32,70,1,12,752,16,8,116,478,799,0,293,25,116,17,73,26,0,24,1,163,0,30,217,128,260,49,688179.443956,795419.785194
2011-04-30,7,435,2,2,72,46,21,252,38,8,2,6,21,77,0,15,773,14,3,105,474,738,0,199,12,115,15,56,31,1,24,5,156,0,24,250,140,222,40,750185.147131,804802.0789
2011-07-31,4,394,1,4,107,48,19,213,33,3,0,3,36,69,0,6,851,17,6,136,615,685,0,197,13,138,18,58,32,1,28,4,213,0,17,215,129,242,57,625165.123474,815605.092774
2011-10-31,6,424,1,2,125,37,24,251,26,0,1,8,24,73,1,13,857,7,3,143,576,666,0,115,16,163,33,57,23,0,35,3,199,0,34,199,216,266,56,630403.806777,814359.708864
2012-01-31,9,422,2,6,116,23,20,221,17,7,1,3,21,86,0,15,877,10,1,119,534,616,0,67,29,148,20,70,36,4,34,2,178,0,31,223,228,201,46,621668.229396,868890.556227
2012-04-30,5,452,0,6,114,30,16,234,25,8,0,10,19,82,0,15,798,10,1,143,544,656,0,58,15,124,13,69,31,2,31,3,154,0,34,269,214,218,41,662464.421795,868506.099666
2012-07-31,2,462,0,2,188,18,17,188,21,5,5,2,36,77,0,10,972,12,2,145,561,573,0,93,14,144,26,66,35,0,32,2,184,0,41,238,198,208,69,725010.206685,937473.810677
2012-10-31,6,513,2,4,161,21,17,212,24,2,1,14,29,84,2,8,1040,14,3,168,556,612,0,70,16,176,28,75,33,0,29,9,179,0,31,313,234,274,73,657205.520085,886575.068204
2013-01-31,10,479,0,1,165,38,21,215,33,2,0,9,36,96,1,9,830,11,1,127,604,649,0,127,18,148,19,71,35,0,53,3,175,0,36,225,199,258,49,711329.387546,959195.474239
2013-04-30,7,501,0,5,118,38,21,268,42,6,0,8,33,92,2,16,1078,10,0,153,734,686,0,154,18,180,21,89,21,2,28,4,157,0,39,246,167,287,61,716056.294872,965639.280162
2013-07-31,5,566,1,4,169,40,21,289,49,3,1,9,41,74,1,21,1045,14,1,131,756,703,0,130,22,225,12,98,23,0,47,4,158,0,28,208,196,255,95,867155.312576,962980.444724
2013-10-31,5,531,0,2,163,22,20,249,34,6,0,6,41,110,0,24,1186,9,0,152,694,718,0,72,21,189,3,84,33,1,46,1,211,0,35,225,235,282,63,954376.046947,1112618.74008
2014-01-31,14,449,0,3,177,39,16,242,38,5,2,9,28,102,1,21,1012,6,2,188,648,679,0,114,10,128,11,50,33,4,49,5,159,0,38,292,209,285,82,998513.205862,1105243.54405
2014-04-30,5,434,0,6,169,39,22,224,42,4,1,13,24,105,0,14,1002,5,0,188,629,760,0,68,0,134,17,60,38,0,41,2,181,1,31,178,192,248,44,1020161.02229,1120486.30116
2014-07-31,11,493,2,1,171,25,12,200,35,1,3,9,24,115,0,17,669,3,1,288,628,693,0,18,0,144,21,81,32,0,42,2,159,0,48,163,293,272,83,1096127.70263,1179712.96538
2014-10-31,8,521,2,3,172,17,19,213,38,3,0,8,31,107,1,19,743,9,7,223,664,758,0,29,0,142,8,66,42,1,50,5,204,0,67,182,267,293,75,1070316.4116,1185171.78886
2015-01-31,18,458,1,5,164,31,14,158,35,1,1,5,22,91,1,18,724,7,3,111,621,749,0,12,0,135,2,50,58,0,38,2,150,0,58,178,274,286,85,976151.509663,1296512.53442
2015-04-30,10,510,2,7,166,21,20,158,39,4,1,3,31,110,3,16,565,12,1,145,625,776,0,13,0,139,2,65,45,2,33,2,185,0,45,168,248,295,87,1236740.59085,1269228.13413
2015-07-31,14,534,0,1,170,33,17,146,41,3,0,6,23,84,0,16,638,4,6,168,582,723,0,8,0,130,4,81,43,1,28,2,201,0,60,203,329,315,71,1639256.65733,1406874.50412
2015-10-31,11,525,2,10,160,36,9,185,32,3,2,8,27,92,1,6,576,8,1,155,585,666,0,13,0,183,1,56,49,0,35,4,210,0,51,175,311,269,100,1347757.66882,1358854.45863
