,ARSON,ASSAULT,BAD CHECKS,BRIBERY,BURGLARY,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG/NARCOTIC,DRUNKENNESS,EMBEZZLEMENT,EXTORTION,FAMILY OFFENSES,FORGERY/COUNTERFEITING,FRAUD,GAMBLING,KIDNAPPING,LARCENY/THEFT,LIQUOR LAWS,LOITERING,MISSING PERSON,NON-CRIMINAL,OTHER OFFENSES,PORNOGRAPHY/OBSCENE MAT,PROSTITUTION,RECOVERED VEHICLE,ROBBERY,RUNAWAY,SECONDARY CODES,"SEX OFFENSES, FORCIBLE","SEX OFFENSES, NON FORCIBLE",STOLEN PROPERTY,SUICIDE,SUSPICIOUS OCC,TREA,TRESPASS,VANDALISM,VEHICLE THEFT,WARRANTS,WEAPON LAWS,averageListingPrice,alp_allsf
2004-01-31,22,1548,24,1,895,178,43,762,55,26,3,6,324,481,2,31,4597,19,25,315,1591,2209,0,615,0,417,16,136,74,2,109,7,492,0,151,877,1904,1047,105,,
2005-01-31,25,1482,9,2,1129,106,51,847,65,29,3,8,311,350,2,35,4081,33,40,348,1624,2081,0,489,0,469,16,135,57,1,87,22,504,0,129,858,1928,1000,133,,
2006-01-31,25,1361,20,2,1158,103,38,747,61,26,3,1,275,346,3,40,4842,29,76,323,1574,1945,0,362,11,449,29,112,61,0,90,14,479,0,114,987,2181,781,140,,
2007-01-31,14,1437,14,2,1171,61,44,966,80,18,7,6,299,363,3,30,5216,18,9,324,1553,2096,2,366,92,497,21,144,64,3,82,21,524,0,111,1085,805,864,131,,
2008-01-31,23,1309,8,1,827,39,40,885,59,29,5,2,259,250,2,30,4540,22,55,308,1427,1935,1,396,82,358,21,156,54,1,78,22,470,0,127,937,723,729,115,,
2009-01-31,31,1367,7,4,977,51,42,709,61,31,5,3,257,286,1,36,4188,31,76,301,1304,2087,1,330,72,445,24,176,63,2,103,18,480,0,99,943,766,538,149,,
2010-01-31,29,1296,12,3,931,45,63,794,59,23,3,3,232,283,3,53,4005,24,37,250,1413,2230,0,209,50,432,11,200,68,3,131,7,509,0,96,985,582,617,135,,
2011-01-31,20,1215,7,4,798,60,37,755,52,18,5,8,114,342,2,34,3326,13,10,309,1441,1869,2,348,47,393,12,186,72,5,103,8,558,0,72,818,464,607,118,,
2012-01-31,16,1250,4,4,720,80,42,574,39,19,7,2,121,376,1,43,3654,12,9,284,1645,1775,0,301,50,376,4,169,85,3,106,10,701,0,109,715,572,660,117,,
2013-01-31,24,1228,4,2,1000,107,30,575,31,18,1,3,116,339,1,30,4773,6,37,340,1937,1724,0,199,69,488,7,179,95,0,152,9,641,0,183,821,722,616,124,,
2014-01-31,31,1352,6,1,956,31,29,698,60,27,3,3,115,314,0,44,5668,7,11,336,2207,1898,0,114,77,459,3,180,86,0,180,2,584,1,149,794,763,711,125,,
2015-01-31,29,1330,3,6,854,31,30,621,46,11,6,3,112,323,0,53,6463,17,2,351,2068,2146,0,26,0,376,12,169,108,1,138,7,559,0,140,847,831,685,155,,
