,ARSON,ASSAULT,BAD CHECKS,BRIBERY,BURGLARY,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG/NARCOTIC,DRUNKENNESS,EMBEZZLEMENT,EXTORTION,FAMILY OFFENSES,FORGERY/COUNTERFEITING,FRAUD,GAMBLING,KIDNAPPING,LARCENY/THEFT,LIQUOR LAWS,LOITERING,MISSING PERSON,NON-CRIMINAL,OTHER OFFENSES,PORNOGRAPHY/OBSCENE MAT,PROSTITUTION,RECOVERED VEHICLE,ROBBERY,RUNAWAY,SECONDARY CODES,"SEX OFFENSES, FORCIBLE","SEX OFFENSES, NON FORCIBLE",STOLEN PROPERTY,SUICIDE,SUSPICIOUS OCC,TREA,TRESPASS,VANDALISM,VEHICLE THEFT,WARRANTS,WEAPON LAWS,averageListingPrice,alp_allsf
2004-01-31,29,1958,33,5,748,144,43,2015,134,52,4,17,539,680,5,45,5839,62,42,308,2628,4063,0,19,0,425,30,120,110,3,209,10,541,0,405,763,1407,1962,141,,
2005-01-31,24,1878,12,2,892,132,33,1648,115,31,7,9,453,529,2,27,5800,59,85,345,2854,3740,0,26,0,502,24,131,131,9,160,15,615,0,267,825,1595,1578,143,,
2006-01-31,23,1745,13,4,763,60,26,1195,100,47,8,6,500,481,3,44,5687,63,23,358,3257,2884,1,32,8,615,15,103,122,5,112,12,700,0,175,932,1395,1358,135,,
2007-01-31,23,1915,14,3,856,53,27,1315,137,53,5,7,465,485,4,56,6327,47,8,353,3065,2589,0,23,90,684,13,146,128,5,144,9,740,0,243,1061,652,1308,127,,
2008-01-31,23,1989,8,6,778,63,36,1796,134,42,8,10,534,522,10,61,6182,67,263,372,2890,3111,0,19,98,659,18,193,149,11,121,22,704,0,192,1057,616,1353,166,,
2009-01-31,29,1855,20,5,741,91,40,1946,173,55,7,10,569,629,3,44,5710,124,267,328,2710,3914,0,27,82,636,10,163,130,4,132,7,680,0,176,853,618,1220,154,,
2010-01-31,32,1814,10,6,822,62,51,2047,175,39,5,8,464,608,2,64,6068,77,18,427,2716,3839,0,19,64,569,18,212,140,3,173,6,628,0,206,1015,487,1315,195,,
2011-01-31,36,2193,13,10,688,72,60,1728,165,36,14,7,250,675,0,57,6346,57,43,697,3333,3597,0,25,74,624,20,258,141,2,169,19,1144,0,223,1229,377,1613,199,,
2012-01-31,23,2145,12,8,667,93,45,1178,157,37,4,7,190,610,2,65,6132,75,17,765,3438,3370,1,16,80,658,19,232,156,2,175,10,1011,0,198,1040,420,1443,201,,
2013-01-31,28,1981,9,10,785,89,59,958,149,33,5,4,246,512,0,43,7781,44,11,557,3454,3133,2,24,95,805,8,232,146,8,213,7,1001,0,232,1308,512,1406,190,,
2014-01-31,31,2062,4,13,930,59,102,1308,328,44,3,10,252,505,1,80,8787,54,11,671,4303,3356,1,15,75,773,13,242,147,0,237,9,1055,1,250,1085,441,1762,232,,
2015-01-31,40,2084,8,8,921,53,66,892,113,42,3,8,166,518,0,74,10352,31,9,729,3898,3406,0,58,0,603,16,256,136,0,184,8,848,0,200,1351,598,1321,203,,
