,ARSON,ASSAULT,BAD CHECKS,BRIBERY,BURGLARY,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG-NARCOTIC,DRUNKENNESS,EMBEZZLEMENT,EXTORTION,FAMILY OFFENSES,FORGERY-COUNTERFEITING,FRAUD,GAMBLING,KIDNAPPING,LARCENY-THEFT,LIQUOR LAWS,LOITERING,MISSING PERSON,NON-CRIMINAL,OTHER OFFENSES,PORNOGRAPHY-OBSCENE MAT,PROSTITUTION,RECOVERED VEHICLE,ROBBERY,RUNAWAY,SECONDARY CODES,"SEX OFFENSES, FORCIBLE","SEX OFFENSES, NON FORCIBLE",STOLEN PROPERTY,SUICIDE,SUSPICIOUS OCC,TRESPASS,VANDALISM,VEHICLE THEFT,WARRANTS,WEAPON LAWS,ALL,averageListingPrice,alp_allsf
2003-03-31,0,115,0,0,16,3,3,170,9,1,0,0,6,10,0,4,131,5,3,15,71,167,0,74,0,30,1,7,3,0,2,2,32,10,36,17,130,7,1080,,
2003-04-30,0,85,2,0,21,9,2,236,3,5,0,0,11,22,0,3,132,5,1,6,54,140,0,75,0,23,0,6,1,0,5,0,22,12,23,34,135,9,1082,,
2003-05-31,1,101,0,0,18,2,1,228,7,1,0,2,15,12,0,1,115,2,1,10,74,172,0,77,0,18,0,13,4,0,5,0,21,11,22,35,138,13,1120,,
2003-06-30,0,88,1,0,10,1,1,205,5,1,0,1,8,17,0,3,130,0,1,9,57,148,0,22,0,20,0,3,4,0,9,1,22,10,19,20,105,6,927,,
2003-07-31,1,94,1,0,17,3,0,203,8,2,0,0,9,18,2,6,119,2,2,11,64,178,0,43,0,26,0,7,4,0,4,0,16,13,22,29,120,4,1028,,
2003-08-31,2,108,1,0,20,3,0,230,5,0,1,0,8,12,1,8,111,1,2,10,69,189,0,40,0,27,0,7,8,0,9,3,23,13,24,51,135,11,1132,,
2003-09-30,0,129,0,1,30,4,1,230,2,2,0,0,8,14,0,4,124,2,4,6,87,199,0,53,0,29,0,8,4,0,6,0,25,16,19,33,125,7,1172,,
2003-10-31,1,112,1,1,24,4,2,208,5,0,0,1,10,6,0,2,115,4,1,8,78,172,0,33,0,34,0,7,7,0,8,0,23,8,22,35,109,25,1066,,
2003-11-30,1,92,0,0,18,2,1,220,5,0,0,0,6,14,1,3,120,3,0,9,55,173,0,38,0,22,0,4,2,0,1,0,17,5,17,27,111,8,975,,
2003-12-31,0,80,0,0,23,2,1,242,4,2,1,0,7,14,0,1,131,3,0,9,51,151,0,30,0,27,0,3,1,1,4,1,18,6,15,27,97,7,959,,
2004-01-31,1,108,1,1,31,4,0,291,2,0,0,0,5,11,1,1,119,3,2,7,78,213,0,29,0,23,0,9,1,0,4,0,29,9,19,23,134,11,1170,,
2004-02-29,0,78,0,0,17,1,2,279,2,1,0,1,4,15,0,5,118,5,1,18,63,190,0,21,0,18,0,0,4,0,2,0,20,12,19,29,120,14,1059,,
2004-03-31,0,87,0,0,29,3,2,293,4,2,0,0,10,20,0,5,103,2,4,6,54,203,0,44,0,19,0,6,6,0,7,1,24,16,20,36,133,8,1147,,
2004-04-30,1,110,0,0,22,0,3,200,5,2,0,0,8,17,0,4,102,2,4,11,85,175,0,33,0,21,0,7,1,0,2,0,29,9,23,29,114,7,1026,,
2004-05-31,1,87,0,0,23,2,0,246,6,1,0,1,8,12,0,2,136,8,2,9,77,196,0,14,0,32,2,7,2,0,3,0,17,3,23,24,97,9,1050,,
2004-06-30,4,90,0,0,27,1,1,151,4,3,0,0,12,13,0,2,135,0,1,11,91,109,0,4,0,28,1,7,4,2,1,0,28,2,16,37,74,4,863,,
2004-07-31,2,94,0,0,15,6,0,194,2,2,0,1,5,12,0,1,150,0,3,11,62,138,0,16,0,30,0,2,4,0,3,0,21,4,12,24,89,11,914,,
2004-08-31,1,98,0,0,25,0,0,254,3,0,0,0,9,12,0,0,119,2,4,8,79,151,0,17,0,34,0,6,3,0,7,0,32,5,25,32,115,6,1047,,
2004-09-30,0,87,0,0,12,0,1,280,2,1,1,1,16,12,0,0,109,4,1,7,80,136,0,19,0,20,0,6,5,1,4,0,30,7,13,21,87,5,968,,
2004-10-31,2,86,0,0,22,5,0,264,4,2,0,0,14,7,0,0,129,1,0,8,87,135,0,11,0,23,0,6,2,0,4,0,24,13,18,25,86,9,987,,
2004-11-30,1,85,0,0,24,3,1,215,1,4,0,0,8,9,0,2,89,3,2,12,75,121,0,3,0,33,0,4,1,0,4,0,26,7,13,23,83,8,860,,
2004-12-31,0,90,0,0,19,3,3,240,1,5,0,1,6,14,0,0,136,2,1,12,69,159,0,13,0,19,0,5,3,0,3,0,34,12,19,24,84,13,990,,
2005-01-31,0,81,0,0,28,1,2,336,5,1,0,1,7,11,0,5,155,2,0,8,67,163,0,5,0,24,0,3,2,0,8,0,22,10,19,28,87,11,1092,,
2005-02-28,1,83,0,0,21,0,3,208,0,0,0,0,6,13,0,0,102,0,3,8,69,127,0,9,0,26,1,3,4,0,4,1,25,7,9,18,92,14,857,,
2005-03-31,0,90,2,0,11,4,0,245,2,3,0,0,13,9,0,2,121,2,2,13,63,163,0,30,0,28,1,4,5,0,3,0,29,10,18,31,89,10,1003,,
2005-04-30,0,90,0,0,25,1,1,253,1,2,0,0,2,4,0,1,116,2,2,7,73,163,0,26,0,22,0,4,4,0,4,1,33,15,15,43,94,10,1014,,
2005-05-31,1,90,0,0,26,1,0,245,0,0,0,2,5,13,1,2,130,4,1,13,100,138,0,9,0,23,0,5,1,0,5,1,23,3,15,15,91,7,970,,
