,ARSON,ASSAULT,BAD CHECKS,BRIBERY,BURGLARY,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG/NARCOTIC,DRUNKENNESS,EMBEZZLEMENT,EXTORTION,FAMILY OFFENSES,FORGERY/COUNTERFEITING,FRAUD,GAMBLING,KIDNAPPING,LARCENY/THEFT,LIQUOR LAWS,LOITERING,MISSING PERSON,NON-CRIMINAL,OTHER OFFENSES,PORNOGRAPHY/OBSCENE MAT,PROSTITUTION,RECOVERED VEHICLE,ROBBERY,RUNAWAY,SECONDARY CODES,"SEX OFFENSES, FORCIBLE","SEX OFFENSES, NON FORCIBLE",STOLEN PROPERTY,SUICIDE,SUSPICIOUS OCC,TRESPASS,VANDALISM,VEHICLE THEFT,WARRANTS,WEAPON LAWS,averageListingPrice,alp_allsf
2003-07-31,2,578,4,0,97,21,10,1261,46,18,1,3,59,93,3,19,752,20,9,60,382,958,0,305,0,140,1,44,22,1,31,4,140,68,147,170,751,55,,
2004-01-31,5,629,3,3,146,19,5,1421,23,4,2,1,44,71,3,19,720,16,9,49,418,1097,0,223,0,162,0,38,23,1,32,4,135,57,116,196,711,69,,
2004-07-31,8,546,0,0,133,13,8,1363,23,11,0,3,47,89,0,19,744,17,15,66,432,1011,0,132,0,148,3,29,21,2,18,1,139,46,113,179,627,53,,
2005-01-31,4,527,0,0,130,12,7,1589,16,13,1,3,60,65,0,7,737,14,8,55,457,865,0,68,0,153,0,30,16,1,30,0,168,54,107,153,542,52,,
2005-07-31,4,559,5,0,128,8,5,1414,13,9,1,2,40,72,1,12,764,11,10,52,467,830,0,115,0,158,2,22,23,0,24,6,152,46,98,154,550,57,,
2006-01-31,1,564,9,3,120,11,3,1544,17,19,1,1,61,90,0,19,814,11,17,60,451,901,0,37,4,187,0,40,24,0,20,2,202,66,118,194,572,68,,
2006-07-31,4,665,2,0,149,12,6,1265,18,11,0,1,56,65,0,15,743,10,4,55,436,905,0,55,23,186,0,42,11,0,33,0,173,44,138,62,507,70,,
2007-01-31,6,623,0,1,120,10,7,1546,21,9,1,1,62,77,0,7,779,13,0,55,531,913,0,48,26,172,0,35,12,0,22,1,164,59,129,68,541,42,,
2007-07-31,3,716,2,2,111,13,9,1717,19,13,0,4,59,86,3,13,800,19,12,54,496,1106,0,82,20,198,1,48,21,0,27,3,208,41,139,52,635,46,,
2008-01-31,0,750,0,1,114,20,8,2138,25,7,3,3,72,106,4,18,915,13,8,65,581,1415,0,243,25,198,0,68,28,1,24,3,213,76,163,48,700,77,,
2008-07-31,6,690,1,2,109,109,6,2371,28,7,3,1,78,74,4,6,760,33,6,58,509,1617,2,126,22,167,0,51,15,0,27,6,173,118,115,48,656,59,,
2009-01-31,5,703,4,1,126,213,4,2572,36,15,1,2,54,91,1,21,808,29,7,67,506,1904,0,89,19,202,0,75,30,1,22,6,182,154,128,48,553,111,,
2009-07-31,3,653,2,2,134,190,18,2426,53,5,0,3,54,87,0,19,700,14,6,68,484,1977,0,53,13,154,0,74,22,0,33,3,177,180,119,51,603,91,796343.125,839967.798809
2010-01-31,3,693,1,1,120,135,15,2227,70,6,1,9,52,78,0,25,740,17,15,81,595,1706,0,73,6,138,0,71,39,0,27,3,174,151,144,32,594,73,670198.652469,819144.109008
2010-07-31,1,666,0,2,123,160,4,1537,66,6,0,4,40,96,0,11,586,25,42,73,722,1306,0,25,8,150,1,89,31,0,25,2,297,210,133,35,541,47,675546.355311,808816.724307
2011-01-31,5,618,1,3,111,91,10,1313,56,6,1,7,52,90,0,23,737,19,32,83,772,1005,0,28,10,154,0,93,26,0,18,3,338,122,108,60,555,67,595381.292308,794211.178118
2011-07-31,4,572,1,1,127,117,7,1208,24,8,1,0,22,100,0,19,753,18,37,82,697,960,1,10,13,162,1,79,29,0,34,3,327,141,122,36,567,48,643744.323718,810203.585837
2012-01-31,5,647,2,0,126,116,10,1006,52,11,0,1,17,93,0,20,749,18,29,83,650,986,0,73,24,154,1,82,17,0,29,3,225,132,113,45,568,54,705153.416667,841625.132546
2012-07-31,6,552,0,1,118,123,13,1020,34,7,3,2,24,89,0,12,762,7,43,65,666,914,0,48,13,192,1,53,17,0,26,1,211,152,117,32,550,68,682380.115385,902989.955171
2013-01-31,5,499,0,1,138,92,4,946,37,8,1,2,30,99,1,12,864,10,29,96,750,771,0,41,17,219,1,66,24,0,37,1,182,117,135,37,529,59,736986.192308,922885.271222
2013-07-31,14,629,0,2,141,43,18,915,52,9,1,3,33,93,0,33,898,12,8,69,890,919,0,30,13,206,0,70,35,0,30,7,253,89,147,57,613,74,736609.326923,964309.862443
2014-01-31,7,677,0,2,142,11,18,830,84,10,0,3,49,105,1,29,930,17,1,89,920,922,0,1,23,221,0,71,26,0,48,4,235,45,158,56,575,75,853871.62,1108954.93302
2014-07-31,3,684,1,1,114,16,7,693,40,5,0,3,29,92,1,33,905,21,0,113,817,863,0,11,0,194,1,65,38,0,41,1,265,52,175,86,516,87,823444.365385,1150099.63327
2015-01-31,6,678,0,2,104,15,4,496,18,6,1,3,29,129,1,19,1045,8,2,86,782,720,0,4,0,222,2,79,30,1,30,1,234,58,140,52,407,65,882497.208333,1241892.54603
2015-07-31,11,623,0,1,97,16,5,521,18,5,0,1,22,134,0,15,1075,12,2,94,703,735,0,3,0,209,1,75,41,1,23,2,237,52,161,55,499,84,903240.78,1340804.24653
