,ARSON,ASSAULT,BAD CHECKS,BRIBERY,BURGLARY,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG/NARCOTIC,DRUNKENNESS,EMBEZZLEMENT,EXTORTION,FAMILY OFFENSES,FORGERY/COUNTERFEITING,FRAUD,GAMBLING,KIDNAPPING,LARCENY/THEFT,LIQUOR LAWS,LOITERING,MISSING PERSON,NON-CRIMINAL,OTHER OFFENSES,PORNOGRAPHY/OBSCENE MAT,PROSTITUTION,RECOVERED VEHICLE,ROBBERY,RUNAWAY,SECONDARY CODES,"SEX OFFENSES, FORCIBLE","SEX OFFENSES, NON FORCIBLE",STOLEN PROPERTY,SUICIDE,SUSPICIOUS OCC,TRESPASS,VANDALISM,VEHICLE THEFT,WARRANTS,WEAPON LAWS,averageListingPrice,alp_allsf
2003-04-30,0,295,2,0,52,15,8,625,26,14,1,0,27,46,1,9,388,16,5,30,187,460,0,163,0,76,1,21,10,1,13,3,81,34,84,86,388,32,,
2003-07-31,2,283,2,0,45,6,2,636,20,4,0,3,32,47,2,10,364,4,4,30,195,498,0,142,0,64,0,23,12,0,18,1,59,34,63,84,363,23,,
2003-10-31,3,349,2,2,74,11,3,668,12,2,1,1,26,32,1,14,350,7,7,24,234,560,0,126,0,90,0,22,19,0,23,3,71,37,65,119,369,43,,
2004-01-31,2,280,1,1,72,8,2,753,11,2,1,0,18,39,2,5,370,9,2,25,184,537,0,97,0,72,0,16,4,1,9,1,64,20,51,77,342,26,,
2004-04-30,1,275,0,0,68,4,7,772,11,5,0,1,22,52,0,14,323,9,9,35,202,568,0,98,0,58,0,13,11,0,11,1,73,37,62,94,367,29,,
2004-07-31,7,271,0,0,65,9,1,591,12,6,0,2,25,37,0,5,421,8,6,31,230,443,0,34,0,90,3,16,10,2,7,0,66,9,51,85,260,24,,
2004-10-31,3,271,0,0,59,5,1,798,9,3,1,1,39,31,0,0,357,7,5,23,246,422,0,47,0,77,0,18,10,1,15,0,86,25,56,78,288,20,,
2005-01-31,1,256,0,0,71,7,6,791,7,10,0,2,21,34,0,7,380,7,3,32,211,443,0,21,0,76,0,12,6,0,15,0,82,29,51,75,254,32,,
2005-04-30,1,263,2,0,57,5,4,706,3,5,0,0,21,26,0,3,339,4,7,28,205,453,0,65,0,76,2,11,13,0,11,2,87,32,42,92,275,34,,
2005-07-31,3,296,3,0,71,3,1,708,10,4,1,2,19,46,1,9,425,7,3,24,262,377,0,50,0,82,0,11,10,0,13,4,65,14,56,62,275,23,,
2005-10-31,1,287,4,2,54,7,2,854,6,8,0,0,31,46,0,12,390,6,9,25,228,481,0,26,0,91,0,18,14,0,7,1,111,36,61,101,301,36,,
2006-01-31,0,277,5,1,66,4,1,690,11,11,1,1,30,44,0,7,424,5,8,35,223,420,0,11,4,96,0,22,10,0,13,1,91,30,57,93,271,32,,
2006-04-30,3,314,2,0,57,7,4,621,12,4,0,0,29,34,0,8,396,3,2,26,222,446,0,17,10,80,0,20,7,0,24,0,74,24,79,30,291,32,,
2006-07-31,1,351,0,0,92,5,2,644,6,7,0,1,27,31,0,7,347,7,2,29,214,459,0,38,13,106,0,22,4,0,9,0,99,20,59,32,216,38,,
2006-10-31,6,330,0,0,60,6,3,731,14,1,1,1,29,38,0,4,390,3,0,26,260,458,0,27,10,97,0,16,7,0,12,0,90,30,64,35,249,19,,
2007-01-31,0,293,0,1,60,4,4,815,7,8,0,0,33,39,0,3,389,10,0,29,271,455,0,21,16,75,0,19,5,0,10,1,74,29,65,33,292,23,,
2007-04-30,1,339,1,1,58,5,7,899,12,6,0,3,25,46,2,9,343,9,1,25,230,560,0,37,10,95,1,27,12,0,10,3,111,22,64,22,339,19,,
2007-07-31,2,377,1,1,53,8,2,818,7,7,0,1,34,40,1,4,457,10,11,29,266,546,0,45,10,103,0,21,9,0,17,0,97,19,75,30,296,27,,
2007-10-31,0,388,0,1,43,10,4,1008,10,4,3,1,34,55,3,11,534,10,6,33,294,706,0,134,12,91,0,36,9,1,14,1,109,31,82,29,352,40,,
2008-01-31,0,362,0,0,71,10,4,1130,15,3,0,2,38,51,1,7,381,3,2,32,287,709,0,109,13,107,0,32,19,0,10,2,104,45,81,19,348,37,,
2008-04-30,4,332,0,1,54,34,5,1188,8,4,0,1,42,35,1,4,352,8,4,24,241,743,0,70,12,87,0,31,8,0,14,3,80,51,60,22,349,31,,
2008-07-31,2,358,1,1,55,75,1,1183,20,3,3,0,36,39,3,2,408,25,2,34,268,874,2,56,10,80,0,20,7,0,13,3,93,67,55,26,307,28,,
2008-10-31,2,355,3,1,64,94,2,1259,20,5,0,2,28,35,1,9,456,14,5,32,251,902,0,54,6,112,0,41,13,1,13,2,79,90,65,19,287,55,,
2009-01-31,3,348,1,0,62,119,2,1313,16,10,1,0,26,56,0,12,352,15,2,35,255,1002,0,35,13,90,0,34,17,0,9,4,103,64,63,29,266,56,,
2009-04-30,2,329,2,1,71,111,11,1356,20,0,0,2,26,50,0,13,339,4,2,28,259,1157,0,33,8,66,0,45,8,0,15,3,100,97,61,22,291,54,,
2009-07-31,1,324,0,1,63,79,7,1070,33,5,0,1,28,37,0,6,361,10,4,40,225,820,0,20,5,88,0,29,14,0,18,0,77,83,58,29,312,37,796343.125,839967.798809
2009-10-31,1,370,1,0,59,85,8,1388,41,3,0,6,27,38,0,14,378,11,3,49,308,1019,0,64,3,84,0,34,23,0,16,2,82,99,79,12,353,34,707012.113095,838433.89443
2010-01-31,2,323,0,1,61,50,7,839,29,3,1,3,25,40,0,11,362,6,12,32,287,687,0,9,3,54,0,37,16,0,11,1,92,52,65,20,241,39,630553.387179,798370.493938
2010-04-30,1,340,0,1,54,76,0,813,29,4,0,2,24,48,0,5,280,14,21,27,341,683,0,20,1,77,0,35,15,0,11,2,137,108,62,17,284,20,687266.496429,816067.224205
2010-07-31,0,326,0,1,69,84,4,724,37,2,0,2,16,48,0,6,306,11,21,46,381,623,0,5,7,73,1,54,16,0,14,0,160,102,71,18,257,27,665500.520068,802602.010108
2010-10-31,3,297,1,2,70,62,7,714,26,1,1,4,28,53,0,10,371,13,26,47,409,558,0,21,6,85,0,40,15,0,8,3,180,74,53,30,284,43,616050.635897,793002.571043
2011-01-31,2,321,0,1,41,29,3,599,30,5,0,3,24,37,0,13,366,6,6,36,363,447,0,7,4,69,0,53,11,0,10,0,158,48,55,30,271,24,574711.948718,795419.785194
2011-04-30,3,272,0,0,63,51,2,604,14,4,0,0,11,46,0,10,352,8,18,43,343,497,0,10,6,81,0,37,16,0,22,2,159,58,68,12,263,18,632521.032051,804802.0789
2011-07-31,1,300,1,1,64,66,5,604,10,4,1,0,11,54,0,9,401,10,19,39,354,463,1,0,7,81,1,42,13,0,12,1,168,83,54,24,304,30,654967.615385,815605.092774
2011-10-31,4,379,1,0,65,61,3,506,30,3,0,1,10,58,0,8,351,10,18,40,360,482,0,18,12,79,0,60,11,0,15,1,115,71,62,23,303,37,643616.653846,814359.708864
2012-01-31,1,268,1,0,61,55,7,500,22,8,0,0,7,35,0,12,398,8,11,43,290,504,0,55,12,75,1,22,6,0,14,2,110,61,51,22,265,17,766690.179487,868890.556227
2012-04-30,4,274,0,0,57,67,6,522,23,3,0,1,6,43,0,5,361,5,18,26,336,477,0,37,4,85,1,28,6,0,10,0,113,84,60,13,281,29,674487.0,868506.099666
2012-07-31,2,278,0,1,61,56,7,498,11,4,3,1,18,46,0,7,401,2,25,39,330,437,0,11,9,107,0,25,11,0,16,1,98,68,57,19,269,39,690273.230769,937473.810677
2012-10-31,4,240,0,1,65,53,1,455,20,1,0,1,15,42,0,3,408,4,16,44,353,365,0,27,4,113,1,32,15,0,13,0,94,62,71,15,256,25,739046.307692,886575.068204
2013-01-31,1,259,0,0,73,39,3,491,17,7,1,1,15,57,1,9,456,6,13,52,397,406,0,14,13,106,0,34,9,0,24,1,88,55,64,22,273,34,734926.076923,959195.474239
2013-04-30,8,295,0,2,64,30,8,468,21,5,0,1,12,41,0,15,408,8,6,23,415,443,0,21,9,96,0,36,22,0,18,5,132,54,66,26,303,37,808732.5,965639.280162
2013-07-31,6,334,0,0,77,13,10,447,31,4,1,2,21,52,0,18,490,4,2,46,475,476,0,9,4,110,0,34,13,0,12,2,121,35,81,31,310,37,664486.153846,962980.444724
2013-10-31,1,381,0,1,64,6,11,455,47,2,0,1,22,52,1,19,458,11,0,42,505,515,0,0,8,125,0,43,16,0,27,2,115,18,96,37,302,40,825113.653846,1112618.74008
